File,Percent Increase
Dominic Raab,3247.75
Solemn Declaration on European Union,2521.95
Motion (parliamentary procedure),1561.3
Labour Leave,1250.0
Arron Banks,1060.54
Leo Varadkar,997.59
UK rebate,855.59
Labour In for Britain,737.04
Withdrawal from the European Union,713.46
Ursula von der Leyen,688.83
Intelligence and Security Committee of Parliament,681.58
Leave.EU,673.97
Vote Leave,564.25
Office for Budget Responsibility,549.27
Referendums related to the European Union,492.91
Migrants around Calais,466.51
Get Britain Out,461.7
Sinn Féin,340.78
Britain Stronger in Europe,324.01
The European Union: In or Out,312.82
Referendum Party,310.51
People's Pledge,300.0
Cyprus–United Kingdom relations,298.84
United Kingdom and the euro,277.95
Euroscepticism in the United Kingdom,268.61
Conservatives for Britain,266.42
South West England,265.59
Theresa May,264.65
Auld Lang Syne,262.85
Northern Future Forum,251.85
Oireachtas,250.08
Business for Britain,250.0
Better Off Out,233.73
The Independent,227.45
United Kingdom European Constitution referendum,218.05
Hung parliament,198.95
Liam Fox,197.51
Second Thatcher ministry,183.65
Ivan Rogers,181.4
John Curtice,179.73
Voting in the Council of the European Union,172.26
List of Permanent Representatives of the United Kingdom to the European Union,169.44
British Influence,169.09
Common Fisheries Policy,166.19
Opt-outs in the European Union,162.55
UK Independence Party,160.07
Two Treatises of Government,157.94
Speaker of the House of Commons (United Kingdom),155.61
Nicola Sturgeon,155.37
Taoiseach,153.83
Ulster Unionism,152.38
David Cameron,143.51
European Parliament constituencies in the United Kingdom,142.5
Common Agricultural Policy,141.92
Czech Republic–United Kingdom relations,138.64
Nigel Farage,138.36
Provisional application (treaty),137.5
Calais,137.46
YouGov,136.35
European Union Act 2011,134.97
Charles Michel,134.91
R (Factortame Ltd) v Secretary of State for Transport,132.83
Fintan O'Toole,132.19
Eurosceptic,124.69
European Court of Justice,123.51
Treaty of Lisbon,122.54
Brandon Lewis,122.33
List of European Commissioners by nationality,122.22
Winter Fuel Payment,121.62
Snap election,121.49
Austria–United Kingdom relations,116.13
European Economic Community,116.11
Maastricht Treaty,114.59
European Exchange Rate Mechanism,114.07
Business for New Europe,113.46
Campaign for an Independent Britain,112.5
Outlawries Bill,108.05
Angela Merkel,105.51
President of France,105.16
Denmark–United Kingdom relations,104.12
Bulgaria–United Kingdom relations,103.57
Speculation,101.91
Single market,101.69
Peter Gross (judge),100.0
Treaty establishing a Constitution for Europe,94.13
Divisional court (England and Wales),94.03
University of Strathclyde,92.39
European Parliament Committee on Constitutional Affairs,91.67
Sovereign country,88.89
Black Wednesday,88.31
Ireland,87.61
European Union,87.16
Treaties of the European Union,86.31
European Commission,84.69
Gibraltar–Spain border,83.11
Portmanteau,83.06
European Council,82.33
Confederation of British Industry,79.79
Jo Swinson,76.04
Euroscepticism,75.15
Reading (legislature),74.94
