File,Percent Increase
Frederick Douglass,145.39
Thurgood Marshall,116.28
History of slavery in Massachusetts,70.33
Meridian race riot of 1871,382.46
Rama Navami,70.58
Presentation of Mary,45.32
Ralph Ellison,163.31
Days of Remembrance of the Victims of the Holocaust,545.95
Shavuot,1760.62
Day of Remembrance (Japanese Americans),161.7
Annunciation,34.03
John Hunt Morgan,110.71
Plessy v. Ferguson,231.16
Historiographic issues about the American Civil War,66.67
Black populism,25.24
Kentucky in the American Civil War,171.7
Womanist theology,-100.0
Charleston in the American Civil War,60.4
Sweetest Day,111.67
American Society of Muslims,32.19
Lunar New Year,41.74
Bernard Lafayette,65.58
Good hair,47.71
"Washington, DC",81.18
Islamic New Year,120.22
Battle of Appomattox Court House,-100.0
Denmark Vesey,180.91
Catawba in the American Civil War,80.0
George Luther Stearns,105.1
Battle of the Crater,24.82
Slave Power,48.0
Colfax massacre,757.27
Battle of Seven Pines,207.89
Google Calendar,122.81
Female slavery in the United States,17.73
Public holidays in Puerto Rico,644.84
White League,40.97
Robert M. T. Hunter,23.27
Battle of Brownsville,109.09
Statehood Day (Hawaii),45.13
Index of articles related to African Americans,1340.18
History of the United States (1789–1849),131.44
Lift Every Voice and Sing,0
Caliphate Day,845.65
List of landmark African-American legislation,-100.0
Samhain,25.94
List of African-American officeholders during Reconstruction,70.37
First Battle of Sabine Pass,-100.0
Michael Jackson,173.81
Freedom Riders,297.1
Grand Army of the Republic,254.36
History of African Americans in Boston,75.5
South Carolina in the American Civil War,-100.0
U.S. states,101.74
Slavery among Native Americans in the United States,105.8
Nathan Bedford Forrest,221.61
Albert Sidney Johnston,52.27
Colorado in the American Civil War,215.69
Lost Cause of the Confederacy,157.72
Ida B. Wells,46.11
Black power,-100.0
Jackson's Valley campaign,75.27
Guru Nanak Gurpurab,56.51
Caning of Charles Sumner,88.43
Disenfranchisement after the Reconstruction era,383.89
Public holidays in the United States,749.23
Confederate revolving cannon,4373.03
Bermuda Hundred campaign,-100.0
Price's Missouri Expedition,67.38
African-American beauty,57.89
Cinco de Mayo,161.46
Tom Wolf,-100.0
Joseph Wheeler,120.34
National Hispanic Heritage Month,52.76
Missouri in the American Civil War,116.3
Thomas Jefferson and slavery,219.53
Black is beautiful,201.42
Jesse Owens,98.42
White Cane Safety Day,52.43
Texas Supreme Court,113.89
Bunker Hill Day,255.32
African-American studies,18.55
Nova,-100.0
Military leadership in the American Civil War,28.17
Idaho in the American Civil War,182.56
List of African-American neighborhoods,48.36
List of African-American United States representatives,32.61
Franklin Buchanan,48.53
Confederate States Army revival,120.45
Jefferson Davis,26.15
Medgar Evers,370.17
Black conservatism,19.59
Diane Nash,169.66
Ulysses S. Grant,31.55
History of slavery in Texas,638.87
Samaná Americans,47.93
Emancipation Park (Houston),3769.09
Indiana Day,127.27
Civil War Discovery Trail,149.37
Minnesota,21.53
Birmingham campaign,222.27
Union Army,108.83
Louisiana Creole people,17.83
The Oregonian,64.86
Union (American Civil War),189.84
Al Sharpton,125.78
"President Lincoln's 75,000 volunteers",69.2
Pioneer Day,404.35
Patriots' Day,125.78
Anaconda Plan,-100.0
List of U.S. cities with large African-American populations,44.45
P. G. T. Beauregard,50.25
Fugitive Slave Act of 1793,111.89
Smithsonian (magazine),74.83
Loyalty Day,15.89
James Bradley (former slave),62.5
National Urban League,52.3
National Pan-Hellenic Council,149.18
Black History Month,184.68
List of years in the United States,37.9
Maryland,25.76
African Americans in Georgia (U.S. state),74.34
Battle of Hampton Roads,137.86
Black film,160.87
Robert E. Lee,242.59
History of slavery in Alabama,110.98
National Girls and Women in Sports Day,40.3
California Admission Day,130.0
History of African Americans in Chicago,5.77
