2018-11-06 00:00:00
115th Congress
116th Congress
116th United States Congress
1788–89 United States elections
1790 United States elections
1791 United States elections
1792 United States elections
1793 United States elections
1794 United States elections
1795 United States elections
1796 United States elections
1797 United States elections
1798 United States elections
1799 United States elections
1800 United States elections
1801 United States elections
1802 United States elections
1803 United States elections
1804 United States elections
1805 United States elections
1806 United States elections
1807 United States elections
1808 United States elections
1809 United States elections
1810 United States elections
1811 United States elections
1812 United States elections
1813 United States elections
1814 United States elections
1815 United States elections
1816 United States elections
1817 United States elections
1818 United States elections
1819 United States elections
1820 United States elections
1821 United States elections
1822 United States elections
1823 United States elections
1824 United States elections
1825 United States elections
1826 United States elections
1827 United States elections
1828 United States elections
1829 United States elections
1830 United States elections
1831 United States elections
1832 United States elections
1833 United States elections
1834 United States elections
1835 United States elections
1836 United States elections
1837 United States elections
1838 United States elections
1839 United States elections
1840 United States elections
1841 United States elections
1842 United States elections
1843 United States elections
1844 United States elections
1845 United States elections
1846 United States elections
1847 United States elections
1848 United States elections
1849 United States elections
1850 United States elections
1851 United States elections
1852 United States elections
1853 United States elections
1854 United States elections
1855 United States elections
1856 United States elections
1857 United States elections
1858 United States elections
1859 United States elections
1860 United States elections
1861 United States elections
1862 United States elections
1863 United States elections
1864 United States elections
1865 United States elections
1866 United States elections
1867 United States elections
1868 United States elections
1869 United States elections
1870 United States elections
1871 United States elections
1872 United States elections
1873 United States elections
1874 United States elections
1875 United States elections
1876 United States elections
1877 United States elections
1878 United States elections
1879 United States elections
1880 United States elections
1881 United States elections
1882 United States elections
1883 United States elections
1884 United States elections
1885 United States elections
1886 United States elections
1887 United States elections
1888 United States elections
1889 United States elections
1890 United States elections
1891 United States elections
1892 United States elections
1893 United States elections
1894 United States elections
1895 United States elections
1896 United States elections
1897 United States elections
1898 United States elections
1899 United States elections
1900 United States elections
1901 United States elections
1902 United States elections
1903 United States elections
1904 United States elections
1905 United States elections
1906 United States elections
1907 United States elections
1908 United States elections
1909 United States elections
1910 United States elections
1911 United States elections
1912 United States elections
1913 United States elections
1914 United States elections
1915 United States elections
1916 United States elections
1917 United States elections
1918 United States elections
1919 United States elections
1920 United States elections
1921 United States elections
1922 United States elections
1923 United States elections
1924 United States elections
1925 United States elections
1926 United States elections
1927 United States elections
1928 United States elections
1929 United States elections
1930 United States elections
1931 United States elections
1932 United States elections
1933 United States elections
1934 United States elections
1935 United States elections
1936 United States elections
1937 United states elections
1938 United States elections
1939 United States elections
1940 United States elections
1941 United States elections
1942 United States elections
1943 United States elections
1944 United States elections
1945 United States elections
1946 United States elections
1947 United States elections
1948 United States elections
1949 United States elections
1950 United States elections
1951 United States elections
1952 United States elections
1953 United States elections
1954 United States elections
1955 United States elections
1956 United States elections
1957 United States elections
1958 United States elections
1959 United States elections
1960 United States elections
1961 United States elections
1962 United States elections
1963 United States elections
1964 United States elections
1965 United States elections
1966 United States elections
1967 United States elections
1968 United States elections
1969 United States elections
1970 United States elections
1971 United States elections
1972 United States elections
1973 United States elections
1974 United States elections
1975 United States elections
1976 United States elections
1977 United States elections
1978 United States elections
1979 United States elections
1980 United States elections
1981 United States elections
1982 United States elections
1983 United States elections
1984 United States elections
1985 United States elections
1986 United States elections
1987 United States elections
1988 United States elections
1989 United States elections
1990 United States elections
1991 United States elections
1992 United States elections
1993 United States elections
1994 United States elections
1996 United States elections
1997 United States elections
1998 United States elections
1999 United States elections
2000 United States elections
2001 United States elections
2002 United States elections
2003 United States elections
2004 United States elections
2005 United States elections
2006 United States elections
2007 United States elections
2008 United States elections
2009 United States elections
2010 United States elections
2011 United States elections
2012 United States elections
2013 United States elections
2014 United States Senate elections
2014 United States elections
2015 United States elections
2016 United States elections
2016 United States presidential election
2017 United States elections
2018 Alabama Attorney General election
2018 Alabama House of Representatives election
2018 Alabama Senate election
2018 Alabama elections
2018 Alabama gubernatorial election
2018 Alaska House of Representatives election
2018 Alaska Senate election
2018 Alaska elections
2018 Alaska gubernatorial election
2018 Alexandria, Virginia mayoral election
2018 American Samoa elections
2018 Anaheim mayoral election
2018 Anchorage mayoral election
2018 Arizona's 8th congressional district special election
2018 Arizona Attorney General election
2018 Arizona House of Representatives election
2018 Arizona Senate election
2018 Arizona elections
2018 Arizona gubernatorial election
2018 Arkansas Attorney General election
2018 Arkansas elections
2018 Arkansas gubernatorial election
2018 Austin mayoral election
2018 Burlington mayoral election
2018 California's 10th congressional district election
2018 California's 21st congressional district election
2018 California's 39th congressional district election
2018 California Attorney General election
2018 California State Assembly election
2018 California State Senate election
2018 California elections
2018 California gubernatorial election
2018 California lieutenant gubernatorial election
2018 Chula Vista mayoral election
2018 Colorado Attorney General election
2018 Colorado House of Representatives election
2018 Colorado State Senate election
2018 Colorado elections
2018 Colorado gubernatorial election
2018 Connecticut Attorney General election
2018 Connecticut House of Representatives election
2018 Connecticut State Senate election
2018 Connecticut elections
2018 Connecticut gubernatorial election
2018 Cook County, Illinois elections
2018 Cuyahoga County Council election
2018 Cuyahoga County executive election
2018 Delaware Attorney General election
2018 Delaware House of Representatives election
2018 Delaware Senate election
2018 Delaware elections
2018 District of Columbia Attorney General election
2018 El Paso, Texas elections
2018 El Paso County, Colorado elections
2018 Fairfax, Virginia mayoral election
2018 Florida Attorney General election
