File,Percent Increase
Tropical Storm Erika,520.53
1856 Atlantic hurricane season,1837.78
"Burlington County, New Jersey",34.93
Hurricane Helene (1958),333.33
Hurricane Earl (2010),0
"Bristol, Pennsylvania",71.53
53rd Weather Reconnaissance Squadron,1702.08
Offshore oil and gas in the Gulf of Mexico (United States),262.96
La Coloma,0
Tropical cyclone naming,0
"Newark, New Jersey",58.59
Rainband,230.5
Hurricane Camille,2935.82
Bay of Fundy,33.99
Hurricane Ivan,1626.73
Hurricane Henri,132912.5
WCBD-TV,47.46
Caribbean Sea,40.69
1992 Atlantic hurricane season,0
1856 Last Island hurricane,12323.04
Negril,193.43
United States Geological Survey,79.23
Tom Wolf,70.16
List of costliest Atlantic hurricanes,1973.2
Long Island Rail Road,-100.0
French Quarter,213.13
Hurricane Hortense,309.86
Hurricane Betsy,0
Pinar del Río,-100.0
Hurricane Teddy,337.41
List of retired Atlantic hurricane names,0
Philadelphia,44.29
Flash flood warning,825.72
KTAL-TV,84.76
"Houma, Louisiana",3559.43
Hurricane Janet,582.71
Hurricane Gert (1999),0
Maryland,66.7
Hurricane Felix (1995),385.0
Louisiana Department of Health,-100.0
1969 Atlantic hurricane season,658.25
"Port Fourchon, Louisiana",19507.83
Hurricane Agnes,0
Atlantic Ocean,42.47
Pennsylvania,73.49
1932 Atlantic hurricane season,424.05
Weather Prediction Center,145.37
Hurricane Diane,0
World Meteorological Organization,59.48
"Slidell, Louisiana",611.42
"Chester County, Pennsylvania",0
"Manville, New Jersey",5821.99
2021 NFL season,76.08
Hurricane Fifi–Orlene,0
Hurricane Paloma,241.74
ReliefWeb,-100.0
Appalachian Mountains,11.32
Hurricane Allen,0
2012 Atlantic hurricane season,507.4
Windward Islands,122.03
Grand Cayman,57.2
Hurricane Connie,0
Rahway,436.36
"Montgomery County, Virginia",162.73
Hurricane Hilda,901.49
Cape Cod,61.38
Metropolitan Transportation Authority,32.47
Hurricane Hazel,541.79
Louisiana National Guard,336.36
"Burlington, New Jersey",89.19
Extratropical cyclone,350.26
Outflow (meteorology),92.55
Hurricane Katrina,0
"Annapolis, Maryland",85.2
Hurricane Diana,784.93
"Santa Fe, Isle of Youth",1950.0
Hurricane King,170.64
2021 Atlantic hurricane season,611.87
Hurricane Ione,356.25
"Rockville, Maryland",25.38
Real versus nominal value (economics),-100.0
"Pass Christian, Mississippi",425.52
East Coast of the United States,21.71
Guanahacabibes Peninsula,1517.31
2021 Green Bay Packers season,151.54
Cyclone Idai,359.77
Tropical Storm Danny (2021),269.18
Hurricane Eloise,492.21
2004 Atlantic hurricane season,0
John Bel Edwards,1880.06
Marshland,63.37
Tropical Storm Claudette (2021),396.59
Hurricane Stan,601.68
Florida,75.62
Hurricane Dennis,686.01
Eastern Time Zone,229.85
Yale Program on Climate Change Communication,-1.22
National Post,222.55
1935 Atlantic hurricane season,231.25
Mesovortex,6332.61
"Biloxi, Mississippi",179.35
Hurricane Gilbert,1238.83
Hurricane Anita,457.42
Hurricane Dora,522.22
Gulf Coast of the United States,405.64
Gulf of St. Lawrence,68.63
"Chalmette, Louisiana",438.92
Cayman Islands Regiment,88.94
Miami,43.59
Wind shear,391.63
Hurricane Sandy,1912.04
National Hurricane Center,608.45
Hurricane Dorian,598.04
Margaret Orr,1260.3
Aon (company),95.3
"Jacksonville, Florida",22.72
La Scie,48.57
Hurricane Mitch,1375.91
Hurricane Jeanne,0
"La Palma, Cuba",2484.62
Tennessee,74.88
"Miquon, Pennsylvania",113.04
Ridge (meteorology),26.79
TIAA Bank Field,808.11
Effects of climate change,69.9
Mississippi River–Gulf Outlet Canal,1768.94
Ohio,81.01
Isla de la Juventud,875.91
Cayman Islands,37.93
Hurricane Bob,8378.44
"Galliano, Louisiana",0
Landfall,742.42
The Washington Post,-100.0
State of emergency,64.54
2021 Arizona Cardinals season,280.1
Maximum sustained wind,676.37
Jersey City,45.09
2005 levee failures in Greater New Orleans,4848.71
"Carteret, New Jersey",-100.0
"Grand Isle, Louisiana",10041.58
2021 Tulane Green Wave football team,1197.52
Atlantic Canada,117.69
"Passaic, New Jersey",158.88
Whiteout (weather),342.52
Hurricane Gloria,7094.56
Phil Murphy,0
"Dennis, Massachusetts",123.27
Hurricane Otto,675.36
The Advocate (Louisiana),370.59
Al Jazeera,295.55
Newfoundland and Labrador,76.79
Hurricane Marilyn,244.74
1886 Indianola hurricane,1707.94
Canada,26.82
Hurricane Lenny,221.8
Hurricane Dean,548.77
"Plaquemines Parish, Louisiana",1601.19
Tropical cyclone watches and warnings,33.33
"Woodbridge Township, New Jersey",20.9
"Stephenville, Newfoundland and Labrador",43.11
1919 Atlantic hurricane season,175.0
CNN,42.55
AccuWeather,40.31
Hurricane Noel,0
"Edgewater Park, New Jersey",206.67
Mid-Atlantic (United States),199.09
Anemometer,30.48
Hurricane Isidore,823.45
2021 Temple Owls football team,523.42
Storm surge,937.54
Flood stage,631.31
"Norristown, Pennsylvania",29.76
Hurricane Isaac (2000),589.66
S2CID (identifier),37.4
Hurricane Irene,0
"Prairieville, Louisiana",603.91
"Princeton, New Jersey",15.29
1886 Atlantic hurricane season,280.68
Hurricane Diana (1984),420.83
Newark Liberty International Airport,82.83
Typhoon Yutu,1552.01
Christopher Landsea,0
