File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Opposition to multiculturalism,7.2,10/28/2016,27.8,11/10/2016,286.11
Opinion poll,394.6,11/26/2016,1568.8,11/09/2016,297.57
Same-sex marriage in the United States,1875.6,10/29/2016,7611.4,11/09/2016,305.81
Trade deficits,12.0,12/02/2016,23.4,10/21/2016,95.0
Articles of impeachment,66.0,12/04/2016,368.8,11/09/2016,458.79
Personal bankruptcy,65.2,10/27/2016,144.4,11/09/2016,121.47
United States antitrust law,663.2,10/15/2016,1230.8,10/24/2016,85.59
List of Mad episodes,131.0,11/14/2016,261.0,12/03/2016,99.24
Private military company,982.4,11/19/2016,1320.8,10/26/2016,34.45
Jason Burke,35.2,10/29/2016,36.2,10/28/2016,2.84
Andrew Jackson,9108.6,10/15/2016,35671.0,11/28/2016,291.62
Graeme Wood (journalist),24.6,12/04/2016,35.2,11/10/2016,43.09
Michael Crowley (journalist),24.6,10/28/2016,97.2,11/12/2016,295.12
FBI,404.4,11/20/2016,899.0,10/31/2016,122.3
Taliban,2828.6,10/29/2016,3655.4,12/05/2016,29.23
IndustryWeek,8.6,11/01/2016,14.2,10/26/2016,65.12
Keystone Pipeline,1026.0,10/15/2016,13412.0,11/10/2016,1207.21
Make America Great Again,1254.6,10/15/2016,14358.2,11/09/2016,1044.44
Liberal democracy,858.0,10/22/2016,1886.2,11/09/2016,119.84
Toronto Star,360.4,10/22/2016,0.0,10/12/2016,-100.0
The Hill (newspaper),667.2,12/03/2016,1491.4,11/15/2016,123.53
ESPN,1873.4,11/09/2016,2115.8,11/26/2016,12.94
Elliott Broidy,0.0,10/13/2016,78.2,11/13/2016,0
National Geographic Society,568.4,10/22/2016,1004.8,11/02/2016,76.78
House Judiciary Committee,30.4,11/25/2016,88.2,11/09/2016,190.13
Bernard Kerik,148.6,10/29/2016,1120.8,11/07/2016,654.24
Trip Gabriel,14.6,10/18/2016,15.6,10/19/2016,6.85
Intermediate-Range Nuclear Forces Treaty,235.0,11/05/2016,360.8,11/11/2016,53.53
American Enterprise Institute,481.8,10/15/2016,1156.0,11/15/2016,139.93
Junk bonds,67.4,10/29/2016,408.8,11/09/2016,506.53
Marc Hetherington,13.0,10/21/2016,66.2,11/14/2016,409.23
U.S. Office of Government Ethics,5.2,10/23/2016,8.8,11/05/2016,69.23
Thomas Jefferson,11432.6,12/03/2016,23354.4,11/09/2016,104.28
Las Vegas (In the Hills of Donegal),11.0,10/19/2016,21.2,11/09/2016,92.73
Legal affairs of Donald Trump,535.6,12/03/2016,8029.2,11/09/2016,1399.1
2000 United States presidential election,16.8,12/03/2016,217.6,11/09/2016,1195.24
Paula White,493.8,11/25/2016,2008.4,10/21/2016,306.72
Wisconsin,3135.8,10/29/2016,8550.6,11/09/2016,172.68
Joint resolution,108.6,10/29/2016,180.4,11/17/2016,66.11
CNN Money,40.4,10/27/2016,45.2,10/14/2016,11.88
Ulysses S. Grant,5153.4,10/15/2016,12730.4,11/09/2016,147.03
People (magazine),0.0,10/12/2016,10478.6,11/16/2016,0
Donald Trump Jr.,7873.8,12/02/2016,237382.6,11/09/2016,2914.84
James Comey,713.4,12/06/2016,90907.6,10/31/2016,12642.87
Presidency of John F. Kennedy,110.0,10/31/2016,369.6,11/09/2016,236.0
List of things named after Donald Trump,519.0,10/31/2016,7309.4,11/09/2016,1308.36
Bronx,192.0,10/29/2016,249.8,10/26/2016,30.1
