File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Fridtjof Nansen,310.4,09/23/2017,268310.4,10/10/2017,86340.21
International Campaign to Abolish Nuclear Weapons,25.0,10/01/2017,11125.8,10/06/2017,44403.2
Anna Politkovskaya Award,4.4,09/17/2017,371.0,10/06/2017,8331.82
Philadelphia Liberty Medal,16.8,09/16/2017,1351.6,10/17/2017,7945.24
Sakharov Prize,110.6,09/30/2017,4333.2,10/30/2017,3817.9
"Board of Intermediate and Secondary Education, Multan",18.0,11/03/2017,654.2,10/10/2017,3534.44
"Board of Intermediate and Secondary Education, Gujranwala",15.4,11/04/2017,543.8,10/10/2017,3431.17
"Board of Intermediate and Secondary Education, Sargodha",6.4,11/05/2017,185.8,10/10/2017,2803.12
Nansen International Office for Refugees,30.6,09/30/2017,838.2,10/10/2017,2639.22
Martin Schulz,209.6,11/04/2017,5495.0,09/24/2017,2521.66
"Board of Intermediate and Secondary Education, Dera Ghazi Khan",3.4,11/05/2017,62.2,10/10/2017,1729.41
"Board of Secondary Education, Karachi",14.0,09/17/2017,210.2,11/03/2017,1401.43
"AJK Board of Intermediate and Secondary Education, Mirpur",9.0,11/02/2017,129.4,10/12/2017,1337.78
Gulalai Ismail,13.6,10/02/2017,175.2,10/05/2017,1188.24
Muhammad Yunus,946.2,09/16/2017,11908.8,09/27/2017,1158.59
Anatoly Marchenko,18.2,10/20/2017,224.4,10/30/2017,1132.97
Nobel Memorial Prize in Economic Sciences,608.4,09/23/2017,6012.6,10/09/2017,888.26
"Board of Intermediate and Secondary Education, Rawalpindi",19.2,10/01/2017,180.0,10/10/2017,837.5
"Board of Intermediate and Secondary Education, Sahiwal",8.0,11/03/2017,67.4,10/10/2017,742.5
Aung San Suu Kyi,3002.0,10/28/2017,24241.2,09/19/2017,707.5
Razan Zaitouneh,27.4,10/12/2017,219.4,10/30/2017,700.73
National Vocational and Technical Training Commission,5.6,10/07/2017,41.8,09/23/2017,646.43
Nobel Prize in Literature,1299.6,09/28/2017,9302.6,10/05/2017,615.8
Hu Jia (activist),13.0,11/05/2017,89.0,10/30/2017,584.62
Jimmy Carter,7190.6,09/16/2017,48055.6,10/22/2017,568.31
Resistance movement,246.0,09/23/2017,1550.4,10/25/2017,530.24
Fatwā,324.0,09/23/2017,1986.0,10/16/2017,512.96
Guillermo Fariñas,8.8,10/14/2017,53.6,11/01/2017,509.09
List of educational institutions in Faisalabad,23.2,11/05/2017,137.8,10/10/2017,493.97
"Robert Cecil, 1st Viscount Cecil of Chelwood",71.0,09/27/2017,416.4,10/21/2017,486.48
Taslima Nasrin,273.4,11/04/2017,1570.2,09/16/2017,474.32
¡Basta Ya!,11.6,10/18/2017,65.8,10/30/2017,467.24
Julio Borges,33.8,10/08/2017,189.6,10/30/2017,460.95
Belarusian Association of Journalists,3.4,10/18/2017,18.6,10/30/2017,447.06
International Physicians for the Prevention of Nuclear War,49.2,09/17/2017,258.2,10/06/2017,424.8
Alaksandar Milinkievič,6.8,09/28/2017,35.6,10/30/2017,423.53
Lamiya Aji Bashar,16.8,10/02/2017,87.2,10/30/2017,419.05
