File,Percent Increase
Kia Motors,0
NBC Olympic broadcasts,2016.48
Puerto Rico at the 2018 Winter Olympics,11428.64
Chile at the 2018 Winter Olympics,2179.0
1988 Seoul Olympics,90.48
Panmunjom,119.75
Draisine,2.41
Chinese Taipei at the 2018 Winter Olympics,6946.55
San Marino at the 2018 Winter Olympics,9918.46
Nathan Chen,3400.82
Italy at the 2018 Winter Olympics,0
Biathlon,3438.48
1984 Winter Olympics,1176.98
Turkey at the 2018 Winter Olympics,5108.57
Yacht,22.11
1940 Summer Olympics,0
Pyeongchang County,4947.87
Fabian Rießle,0
Minister for Foreign Affairs (Japan),43.16
Uzbekistan at the 2018 Winter Olympics,4800.0
Zip line,56.25
President of South Korea,227.55
Seoul Broadcasting System,97.75
1976 Winter Olympics,0
Olympic flag,389.02
Gannett Company,56.68
Opening ceremony,453.26
Hangul,180.99
Olympic Hymn,0
Ski jumping at the 2018 Winter Olympics,6513.72
Venezuela at the 2014 Winter Olympics,1835.09
Noriaki Kasai,6524.96
1908 Summer Olympics,368.85
1924 Winter Olympics,1211.02
Match TV,69.47
NBC,33.08
Reuters,0
Grigory Rodchenkov,746.24
Argentina at the 2018 Winter Olympics,3343.8
2028 Summer Olympics,2078.49
1912 Summer Olympics,343.82
National Olympic Committee,0
1896 Summer Olympics,0
Sapporo,57.22
Guillaume Cizeron,9202.38
List of multiple Olympic gold medalists in one event,832.22
List of Olympic Games host cities,2409.34
Olympic diploma,879.65
Americas,11.33
Great Britain at the 2018 Winter Olympics,0
Samcheok,128.06
Virgin Islands at the 2014 Winter Olympics,0
China at the 2018 Winter Olympics,0
Los Angeles Times,59.27
Fox News,23.89
Woljeongsa,1429.67
8K resolution,-100.0
Malta at the 2018 Winter Olympics,8902.11
ROKS Cheonan sinking,253.82
Korean War,167.19
2006 Winter Olympics,3127.53
International Paralympic Committee,0
France at the 2018 Winter Olympics,0
Marit Bjørgen,8066.67
Scott Moir,12239.7
List of multiple Winter Olympic medalists,1041.07
1972 Winter Olympics,1319.63
List of 2018 Winter Olympics broadcasters,5885.3
Digital terrestrial television,24.86
The Korea Herald,66.39
Yonhap,44.62
Brazil at the 2018 Winter Olympics,5718.78
Peru at the 2014 Winter Olympics,1870.91
Moon Jae-in,374.48
Mass start,8998.53
Bruno Massot,40460.95
1944 Summer Olympics,719.8
List of IOC country codes,0
1998 Winter Olympics,1132.52
Alpensia Resort,2326.12
Olympic sports,824.99
Cayman Islands at the 2014 Winter Olympics,1634.48
East Asia,22.16
2018 Winter Olympics torch relay,1874.29
Figure skating at the 2018 Winter Olympics – Ladies' singles,19101.2
High-dynamic-range video,20.13
Eritrea at the 2018 Winter Olympics,9147.06
Pyeongchang Olympic Stadium,2986.53
1980 Winter Olympics,1496.41
2018 Winter Olympics,2242.1
Korean Unification Flag,3679.61
List of participating nations at the Summer Olympic Games,1119.1
Sweden at the 2018 Winter Olympics,2494.5
The Guardian,26.61
Bongpyeong-myeon,0
Gangneung,980.27
Spain at the 2018 Winter Olympics,1758.23
123rd IOC Session,3039.47
2002 Winter Olympics,1888.22
Ester Ledecká,25862.37
Mike Pence,82.54
Eastern Time Zone,25.41
Russia at the 2016 Summer Olympics,0
Cross-country skiing at the 2018 Winter Olympics – Women's 30 kilometre classical,0
Venues of the 2018 Winter Olympics and Paralympics,1548.9
Kim Yong-chol,11565.38
Serbia at the 2018 Winter Olympics,5210.98
5G,23.22
Belarus at the 2018 Winter Olympics,2523.26
Pacific Time Zone,57.82
List of Olympic Games scandals and controversies,0
Gangneung Ice Arena,3545.86
1916 Summer Olympics,420.16
Alpine skiing at the 2018 Winter Olympics – Women's super-G,0
Catholic Kwandong University Gymnasium,1691.07
Jeongseon County,465.76
1968 Winter Olympics,862.23
List of Olympic venues,0
India at the 2018 Winter Olympics,0
United States Ambassador to the United Nations,96.16
Wayback Machine,93.75
Madagascar at the 2018 Winter Olympics,7546.15
ATSC 3.0,39.11
Kanal 5 (Sweden),0
