File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
2022 United States Virgin Islands gubernatorial election,66.4,10/22/2022,631.6,11/09/2022,851.2
2022 Nebraska gubernatorial election,293.0,12/05/2022,1895.0,11/09/2022,546.76
2020 United States Senate elections,1104.8,10/16/2022,13000.4,11/09/2022,1076.72
2022 Connecticut State Treasurer election,21.4,11/23/2022,111.6,11/08/2022,421.5
List of United States senators from Kentucky,99.8,11/25/2022,343.2,11/09/2022,243.89
1936 United States Senate elections,82.8,10/16/2022,434.0,11/13/2022,424.15
List of ambassadors of the United States to Denmark,20.6,10/14/2022,26.6,11/18/2022,29.13
2022 United States House of Representatives election in Wyoming,278.0,12/03/2022,1372.6,11/15/2022,393.74
2022 California State Treasurer election,79.8,11/12/2022,265.0,11/08/2022,232.08
2022 Connecticut State Comptroller election,10.0,10/22/2022,28.6,11/16/2022,186.0
2022 United States attorney general elections,326.8,10/14/2022,1966.0,11/09/2022,501.59
Ohio State Treasurer,0.0,10/11/2022,50.2,11/08/2022,0
1957 United States Senate elections,4.6,10/28/2022,9.2,11/05/2022,100.0
2016 United States Senate election in Pennsylvania,0.0,10/11/2022,4326.2,11/09/2022,0
2022 Hawaii House of Representatives election,14.4,10/18/2022,123.0,11/16/2022,754.17
Pacific Green Party,23.0,11/23/2022,173.4,11/08/2022,653.91
2022 San Francisco District Attorney special election,22.2,12/05/2022,203.6,11/08/2022,817.12
Mike Crapo,225.6,11/26/2022,1084.2,11/09/2022,380.59
The Hill (newspaper),526.6,11/19/2022,843.4,11/03/2022,60.16
Chief of Staff,35.0,10/17/2022,64.4,11/14/2022,84.0
2022 United States House of Representatives elections in Tennessee,160.4,10/15/2022,521.0,11/09/2022,224.81
2022 Kentucky House of Representatives election,13.8,10/23/2022,114.6,11/17/2022,730.43
2022 Gainesville mayoral election,27.2,10/15/2022,94.0,11/08/2022,245.59
2022 United States Senate election in Utah,603.2,12/03/2022,4217.2,11/09/2022,599.14
1986 United States Senate election in Alabama,0.0,10/12/2022,120.2,11/13/2022,0
1924 United States Senate elections,27.8,10/14/2022,112.8,11/13/2022,305.76
2022 Connecticut House of Representatives election,31.0,11/01/2022,99.4,11/09/2022,220.65
2022 Illinois Treasurer election,6.0,10/15/2022,19.2,11/16/2022,220.0
2022 New York state elections,0.0,10/11/2022,309.4,11/09/2022,0
1996 United States Senate election in Oklahoma,24.6,10/29/2022,55.6,11/16/2022,126.02
Michael Bennet,644.8,12/03/2022,4867.6,11/09/2022,654.9
2022 Alabama elections,29.0,11/30/2022,128.6,11/09/2022,343.45
"2022 Long Beach, California mayoral election",10.2,10/14/2022,46.8,11/16/2022,358.82
2022 California's 22nd congressional district special election,33.8,12/05/2022,427.0,11/09/2022,1163.31
2022 Nebraska's 1st congressional district special election,25.8,12/05/2022,134.2,11/09/2022,420.16
2022 Illinois Attorney General election,65.8,12/02/2022,277.6,11/08/2022,321.88
Jerry Moran,207.6,11/26/2022,1069.8,11/09/2022,415.32
Two-round system,403.8,10/22/2022,8252.0,11/09/2022,1943.59
J. D. Vance,1831.8,12/03/2022,68422.6,11/09/2022,3635.27
2022 Texas gubernatorial election,1675.4,12/03/2022,19515.6,11/09/2022,1064.83
2016 United States Senate election in Alabama,81.8,10/13/2022,348.6,11/09/2022,326.16
Larry Hogan,737.8,10/22/2022,8448.2,11/09/2022,1045.05
Alaska Department of Administration,7.4,12/03/2022,88.4,11/09/2022,1094.59
2022 Texas Attorney General election,172.4,12/03/2022,806.6,11/09/2022,367.87
1986 United States Senate election in Iowa,0.0,10/12/2022,221.2,11/09/2022,0
Abby Finkenauer,106.6,11/24/2022,430.0,11/09/2022,303.38
2022 Montana House of Representatives election,12.6,10/16/2022,190.6,11/10/2022,1412.7
1988 United States Senate elections,129.2,10/20/2022,533.8,11/13/2022,313.16
2016 United States Senate election in New York,0.0,10/11/2022,1102.0,11/09/2022,0
2022 Connecticut State Senate election,26.4,10/30/2022,110.8,11/09/2022,319.7
2022 United States House of Representatives elections in Maryland,161.6,10/15/2022,679.4,11/09/2022,320.42
2016 United States Senate election in North Carolina,152.2,10/15/2022,1003.4,11/09/2022,559.26
2022 Florida Chief Financial Officer election,78.8,12/01/2022,252.4,11/09/2022,220.3
Write-in,12.8,11/21/2022,33.2,11/16/2022,159.38
Hugh Hewitt,110.0,10/16/2022,163.0,11/04/2022,48.18
2022 United States House of Representatives elections in Rhode Island,181.4,12/02/2022,761.8,11/09/2022,319.96
2010 United States Senate election in North Carolina,83.2,10/16/2022,332.8,11/09/2022,300.0
2022 Rhode Island Senate election,33.6,10/13/2022,85.4,11/08/2022,154.17
List of United States senators from Connecticut,91.4,12/02/2022,222.8,11/09/2022,143.76
2022 United States House of Representatives elections in Maine,227.2,10/15/2022,772.0,11/17/2022,239.79
2016 United States Senate election in Idaho,45.2,10/16/2022,129.0,11/09/2022,185.4
Peter Welch,306.8,10/22/2022,4984.2,11/09/2022,1524.58
2022 District of Columbia Attorney General election,25.2,12/02/2022,140.8,11/10/2022,458.73
2022 Wisconsin State Treasurer election,82.0,10/30/2022,250.0,11/08/2022,204.88
2022 South Carolina Attorney General election,27.2,10/16/2022,103.0,11/08/2022,278.68
2010 United States Senate election in Ohio,117.0,10/22/2022,537.8,11/09/2022,359.66
1978 United States Senate elections,105.4,10/16/2022,529.4,11/13/2022,402.28
2022 Oregon elections,54.8,12/02/2022,499.6,11/09/2022,811.68
2022 Oregon State Senate election,51.4,10/21/2022,141.0,11/15/2022,174.32
2004 United States Senate elections,256.0,10/16/2022,1459.6,11/13/2022,470.16
South Carolina House of Representatives,90.0,10/17/2022,247.0,11/09/2022,174.44
2014 United States Senate special election in South Carolina,80.8,10/14/2022,233.4,11/09/2022,188.86
2022 United States Senate election in New York,743.2,12/03/2022,4198.0,11/09/2022,464.85
Green Mountain Peace and Justice Party,59.6,11/25/2022,347.0,11/09/2022,482.21
List of United States senators from California,344.0,12/02/2022,1178.0,11/27/2022,242.44
North Carolina Supreme Court,112.0,10/16/2022,405.6,11/09/2022,262.14
2004 United States Senate election in Washington,64.8,10/15/2022,194.0,10/30/2022,199.38
Cook Partisan Voting Index,1694.4,10/22/2022,7017.4,10/29/2022,314.15
Oklahoma House of Representatives,93.0,10/16/2022,202.4,11/09/2022,117.63
Kelly Tshibaka,11.6,10/17/2022,17951.6,11/09/2022,154655.17
2022 Iowa House of Representatives election,16.2,10/14/2022,117.0,11/17/2022,622.22
United States Secretary of the Interior,359.2,10/15/2022,512.2,11/09/2022,42.59
2022 Texas State Senate election,112.2,10/16/2022,690.4,11/09/2022,515.33
Ron Wyden,375.8,12/03/2022,2010.2,11/09/2022,434.91
2022 Maine House of Representatives election,18.4,10/23/2022,181.8,11/27/2022,888.04
The Atlanta Journal-Constitution,158.2,11/19/2022,226.8,11/09/2022,43.36
"Beaufort, North Carolina",129.2,10/26/2022,146.8,11/22/2022,13.62
Decision Desk HQ,21.6,12/02/2022,592.0,11/09/2022,2640.74
Fox News,2699.8,10/22/2022,7804.8,11/09/2022,189.09
2022 South Dakota elections,17.4,10/16/2022,131.6,11/09/2022,656.32
2022 United States state legislative elections,222.2,10/23/2022,2911.0,11/09/2022,1210.08
Alex Padilla,788.4,12/03/2022,6679.2,11/09/2022,747.18
1998 United States Senate election in Iowa,0.0,10/12/2022,235.4,11/09/2022,0
List of Native Americans in the United States Congress,161.0,10/15/2022,402.4,11/09/2022,149.94
2022 Vermont Senate election,42.8,10/21/2022,318.6,10/18/2022,644.39
2022 Georgia state elections,278.2,10/16/2022,2049.6,11/09/2022,636.74
Vermont's at-large congressional district,77.4,10/22/2022,539.0,11/09/2022,596.38
Marco Rubio,1163.0,12/03/2022,14859.2,11/09/2022,1177.66
2022 South Carolina Secretary of State election,15.4,10/14/2022,50.8,11/08/2022,229.87
2016 United States Senate elections,558.6,10/16/2022,4082.2,11/09/2022,630.79
Evan McMullin,268.4,12/03/2022,7860.8,11/09/2022,2828.76
Cardiothoracic surgeon,15.8,10/24/2022,17.2,11/13/2022,8.86
List of United States senators from Florida,111.4,12/03/2022,657.8,11/09/2022,490.48
Colorado Governor,3.0,10/14/2022,12.8,11/24/2022,326.67
Democratic Party (United States),9403.8,11/25/2022,45908.2,11/09/2022,388.19
2016 United States Senate election in Colorado,152.0,10/22/2022,568.6,11/09/2022,274.08
2022 Florida Senate election,91.2,10/14/2022,565.8,11/09/2022,520.39
2022 San Francisco District Attorney recall election,85.4,12/03/2022,249.0,10/31/2022,191.57
Governor of Alaska,20.6,12/05/2022,99.4,11/24/2022,382.52
2022 Maine State Senate election,54.4,10/15/2022,309.4,11/10/2022,468.75
U.S. representative,27.2,11/26/2022,105.2,11/09/2022,286.76
2022 Rhode Island Attorney General election,0.0,10/12/2022,61.8,11/11/2022,0
2022 Wisconsin State Assembly election,51.6,10/15/2022,848.4,11/09/2022,1544.19
1986 United States Senate election in Vermont,31.0,10/24/2022,88.8,11/13/2022,186.45
John Fetterman,4119.4,12/03/2022,337279.4,11/09/2022,8087.59
2022 Arizona Attorney General election,252.0,10/14/2022,2274.8,11/15/2022,802.7
2022 California State Controller election,164.8,10/15/2022,608.0,11/09/2022,268.93
2022 Wisconsin Secretary of State election,85.2,10/20/2022,484.8,11/13/2022,469.01
Johnny Isakson,330.6,10/22/2022,2314.0,11/09/2022,599.94
2022 San Jose mayoral election,51.0,12/04/2022,667.0,11/09/2022,1207.84
2010 United States Senate elections,419.0,10/16/2022,2940.6,11/13/2022,601.81
2022 United States House of Representatives elections in Nevada,219.8,10/23/2022,795.4,11/09/2022,261.87
Thomas McDermott Jr.,40.4,12/05/2022,894.6,11/08/2022,2114.36
2022 Massachusetts Senate election,44.8,10/31/2022,209.6,11/08/2022,367.86
Todd Young,355.6,11/26/2022,2507.4,11/09/2022,605.12
Jim Inhofe,330.8,12/04/2022,2553.8,11/09/2022,672.01
2022 Austin mayoral election,204.6,11/28/2022,1266.4,11/09/2022,518.96
2016 United States Senate election in Vermont,0.0,10/12/2022,423.4,11/09/2022,0
1974 United States Senate election in Vermont,37.8,10/24/2022,100.0,11/09/2022,164.55
2022 Idaho elections,20.6,10/21/2022,155.0,11/09/2022,652.43
