File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Foreign relations of the United States,723.8,11/19/2016,1582.8,11/09/2016,118.68
Daniel Webster,1133.0,12/03/2016,1658.8,11/16/2016,46.41
Daisy (advertisement),265.6,12/03/2016,1789.2,11/23/2016,573.64
Samuel Huntington (statesman),124.0,10/29/2016,224.6,10/16/2016,81.13
Pew,121.6,11/19/2016,138.4,10/16/2016,13.82
North Carolina,3957.8,10/29/2016,7683.6,11/09/2016,94.14
Eugene V. Debs,1035.6,12/03/2016,1847.8,10/20/2016,78.43
Federal government of the United States,3439.6,12/03/2016,13686.0,11/09/2016,297.9
Charles L. McNary,65.4,10/23/2016,95.0,11/10/2016,45.26
Southern Democrats,409.0,12/03/2016,1335.4,11/09/2016,226.5
Politics of the United States,1247.4,12/03/2016,10570.8,11/09/2016,747.43
Twenty-fifth Amendment to the United States Constitution,1777.0,10/15/2016,11428.0,11/29/2016,543.11
Horatio Seymour,191.8,10/31/2016,205.2,11/01/2016,6.99
Andrew Jackson,9108.6,10/15/2016,35671.0,11/28/2016,291.62
Lewis Cass,161.6,10/16/2016,326.6,11/16/2016,102.1
New Hampshire,1911.4,12/04/2016,10731.4,11/09/2016,461.44
List of political parties in the United States,2241.4,12/03/2016,20742.6,11/09/2016,825.43
Governor (United States),923.8,10/29/2016,4212.8,11/09/2016,356.03
"Progressive Party (United States, 1912)",940.6,12/03/2016,3538.6,11/09/2016,276.21
"United States presidential election, 1988",5417.2,12/03/2016,80621.4,11/09/2016,1388.25
Elections in Idaho,11.2,10/25/2016,52.0,11/09/2016,364.29
Governor of Louisiana,81.8,10/29/2016,222.6,11/09/2016,172.13
Make America Great Again,1254.6,10/15/2016,14358.2,11/09/2016,1044.44
Governor of Colorado,201.8,10/16/2016,489.8,11/09/2016,142.72
"United States presidential election, 1976",4566.0,12/03/2016,53364.2,11/09/2016,1068.73
Elections in Arkansas,6.4,11/17/2016,24.8,11/09/2016,287.5
"United States presidential election, 1792",899.0,10/15/2016,8116.8,11/09/2016,802.87
Liberalism in the United States,335.0,10/29/2016,977.2,11/09/2016,191.7
Elections in Oregon,22.2,12/04/2016,529.4,11/09/2016,2284.68
By-election,339.4,10/22/2016,758.8,12/02/2016,123.57
Internet activism,227.4,10/15/2016,254.0,10/17/2016,11.7
Joe Lieberman,1143.2,12/03/2016,3283.8,11/09/2016,187.25
James G. Field,5.8,11/25/2016,27.2,10/14/2016,368.97
Samuel J. Tilden,302.6,10/15/2016,2112.8,11/10/2016,598.22
Walter Mondale,5569.8,12/03/2016,5848.2,12/01/2016,5.0
John Sparkman,82.8,10/22/2016,223.2,11/13/2016,169.57
Patrick Lucey,53.8,12/01/2016,119.0,11/09/2016,121.19
Thomas Jefferson,11432.6,12/03/2016,23354.4,11/09/2016,104.28
Governor of Massachusetts,497.0,10/15/2016,1676.0,11/09/2016,237.22
United States presidential line of succession,7854.0,10/16/2016,35845.0,11/09/2016,356.39
United States presidential elections in California,23.6,10/23/2016,135.4,11/09/2016,473.73
William Alexander Graham,37.4,10/22/2016,49.4,11/17/2016,32.09
Presidential system,1306.0,10/22/2016,3265.6,11/09/2016,150.05
Tonie Nathan,73.6,12/03/2016,580.8,11/09/2016,689.13
Off-year election,92.6,11/24/2016,689.0,11/09/2016,644.06
Article Two of the United States Constitution,1568.0,10/15/2016,7354.8,11/10/2016,369.06
Governor of Mississippi,39.0,11/02/2016,62.2,10/20/2016,59.49
Elections in Kansas,12.2,11/15/2016,43.4,11/09/2016,255.74
2000 United States presidential election,16.8,12/03/2016,217.6,11/09/2016,1195.24
Charles J. Jenkins,14.4,10/18/2016,21.4,11/10/2016,48.61
"United States presidential election, 1816",835.4,10/29/2016,6479.6,11/09/2016,675.63
List of United States district and territorial courts,87.2,11/25/2016,172.8,11/09/2016,98.17
Joseph Lane,55.6,10/31/2016,97.4,11/07/2016,75.18
Black conservatism,50.8,10/26/2016,91.8,11/10/2016,80.71
Thomas E. Bramlette,17.6,10/31/2016,16.4,11/02/2016,-6.82
Ulysses S. Grant,5153.4,10/15/2016,12730.4,11/09/2016,147.03
Secretary of State of Arkansas,21.2,11/13/2016,23.2,11/09/2016,9.43
Samuel Finley Vinton,13.8,10/19/2016,17.4,11/06/2016,26.09
Minnesota,4317.2,12/03/2016,7356.6,11/09/2016,70.4
"United States presidential election, 1828",1344.6,10/15/2016,9637.6,11/09/2016,616.76
