File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Claire Palley,5.0,08/12/2019,7.0,08/25/2019,40.0
Seewoosagur Ramgoolam,78.8,09/02/2019,153.0,09/18/2019,94.16
Elizabeth II,0.0,08/09/2019,39823.2,09/01/2019,0
Moktar Ould Daddah,25.0,08/16/2019,56.2,08/11/2019,124.8
Cataract,1530.8,09/07/2019,1937.6,09/16/2019,26.57
Rhodesia Prison Service,8.6,08/11/2019,28.6,09/11/2019,232.56
Human Rights Quarterly,7.2,08/21/2019,24.2,09/09/2019,236.11
Henry Everard,36.0,09/01/2019,379.4,09/06/2019,953.89
Zimbabwe National Liberation War Veterans Association,14.4,09/01/2019,39.8,09/17/2019,176.39
Herbert Chitepo,40.8,09/02/2019,369.2,09/06/2019,804.9
Neelam Sanjiva Reddy,491.2,10/01/2019,721.8,09/19/2019,46.95
World Bank,2989.4,08/17/2019,4224.2,09/01/2019,41.31
Matabeleland South,9.6,08/14/2019,33.4,09/06/2019,247.92
Chegutu,21.6,09/02/2019,77.2,09/27/2019,257.41
Zimbabwe African National Union – Patriotic Front,47.4,09/02/2019,528.8,09/06/2019,1015.61
Emigration,0.0,08/10/2019,443.4,09/11/2019,0
Chenjerai Hunzvi,14.2,08/27/2019,97.8,09/07/2019,588.73
Maurice Nyagumbo,10.6,08/31/2019,66.8,09/06/2019,530.19
Moussa Traoré,64.4,08/11/2019,65.0,08/23/2019,0.93
Kofi Annan,0.0,08/10/2019,2095.8,08/23/2019,0
Andrews Air Force Base,230.6,08/11/2019,397.4,09/12/2019,72.33
Sally Mugabe,52.2,08/31/2019,6447.6,09/06/2019,12251.72
Mugabe's Zimbabwe,9.6,08/19/2019,244.0,09/06/2019,2441.67
Catechist,9.8,09/05/2019,50.4,09/11/2019,414.29
Simon Khaya-Moyo,49.2,09/04/2019,74.6,09/06/2019,51.63
Roman Catholic,1451.4,09/06/2019,1646.0,08/14/2019,13.41
Conservative Alliance of Zimbabwe,11.6,10/02/2019,139.0,09/06/2019,1098.28
Bachelor of Education,600.6,08/11/2019,810.0,09/19/2019,34.87
Oppression,360.6,08/24/2019,556.0,09/30/2019,54.19
Irish War of Independence,2079.6,08/24/2019,2176.4,08/15/2019,4.65
Organisation of African Unity,284.2,08/11/2019,413.6,09/06/2019,45.53
Zimbabwe Congress of Trade Unions,10.8,08/11/2019,27.6,09/06/2019,155.56
Southern Rhodesia,645.4,08/24/2019,4041.0,09/06/2019,526.12
Electoral fraud,398.6,08/17/2019,554.2,09/11/2019,39.04
Julia Tukai Zvobgo,3.4,08/18/2019,37.4,09/14/2019,1000.0
2008–09 Zimbabwean political negotiations,0.0,08/10/2019,50.2,09/06/2019,0
Mike Nyambuya,3.6,08/14/2019,12.2,09/13/2019,238.89
United African National Council,6.4,10/03/2019,83.6,09/06/2019,1206.25
Reuters,1744.4,09/07/2019,2450.2,08/31/2019,40.46
Internal Settlement,30.8,08/23/2019,135.2,09/06/2019,338.96
Mengistu Haile Mariam,612.8,09/04/2019,849.0,09/07/2019,38.54
House arrest,443.6,09/21/2019,517.0,08/29/2019,16.55
Crimes against humanity,884.0,08/18/2019,1009.4,09/06/2019,14.19
Charles Coghlan (politician),8.6,08/31/2019,41.8,09/06/2019,386.05
Mugabe (disambiguation),6.4,08/21/2019,142.6,09/06/2019,2128.12
Jakaya Kikwete,150.2,09/28/2019,182.8,09/07/2019,21.7
Zimbabwe,3768.4,08/31/2019,18646.0,09/06/2019,394.8
David Parirenyatwa,7.4,08/13/2019,20.8,08/25/2019,181.08
Vote of no confidence,51.2,08/17/2019,72.8,09/22/2019,42.19
Zimbabwe Unity Movement,6.2,08/29/2019,43.6,09/06/2019,603.23
White House,3311.6,09/07/2019,4408.4,09/11/2019,33.12
Zvimba District,8.0,08/23/2019,152.0,09/06/2019,1800.0
Joaquim Chissano,77.2,08/17/2019,142.4,09/06/2019,84.46
International Criminal Court,1070.6,08/17/2019,1518.4,09/11/2019,41.83
Ndabaningi Sithole,48.6,08/29/2019,414.8,09/06/2019,753.5
Laurent Kabila,29.2,08/12/2019,60.2,09/14/2019,106.16
1985 Zimbabwean parliamentary election,24.4,09/01/2019,209.8,09/06/2019,759.84
Négritude,199.0,08/11/2019,322.8,09/25/2019,62.21
Nicolás Maduro,0.0,08/10/2019,2212.0,09/13/2019,0
2008 Zimbabwean general election,35.4,08/24/2019,298.0,09/06/2019,741.81
Blaise Compaoré,292.8,09/20/2019,0.0,08/10/2019,-100.0
LGBT rights,198.6,09/21/2019,434.0,09/27/2019,118.53
Ilham Aliyev,482.0,09/14/2019,734.0,08/14/2019,52.28
Ken Flower,69.2,09/04/2019,113.4,09/06/2019,63.87
The Standard (Zimbabwe),4.8,10/03/2019,24.0,09/06/2019,400.0
2000 Zimbabwean constitutional referendum,9.2,09/01/2019,58.4,09/06/2019,534.78
Racial discrimination,0.0,08/10/2019,406.0,10/02/2019,0
Hosni Mubarak,949.6,08/30/2019,1879.6,09/21/2019,97.94
Zvishavane,22.2,08/24/2019,87.6,09/27/2019,294.59
Geneva Conference (1976),15.6,09/04/2019,30.0,09/06/2019,92.31
1980 Southern Rhodesian general election,31.6,08/15/2019,386.8,09/06/2019,1124.05
Branko Kostić,24.6,09/23/2019,36.6,09/08/2019,48.78
Mainstream economics,157.2,08/17/2019,244.2,10/01/2019,55.34
World Health Organization,2974.0,08/11/2019,3969.0,09/09/2019,33.46
Double standards,5.4,08/15/2019,15.4,09/06/2019,185.19
Abel Muzorewa,114.6,08/31/2019,1200.2,09/06/2019,947.29
Quelimane,42.8,08/30/2019,48.4,09/06/2019,13.08
1948 in Southern Rhodesia,0.0,08/10/2019,19.6,09/06/2019,0
Rugare Gumbo,5.8,09/02/2019,23.0,09/06/2019,296.55
Mohamed Ould Abdel Aziz,154.6,08/30/2019,230.0,09/06/2019,48.77
Human rights in Zimbabwe,33.6,08/17/2019,262.6,09/06/2019,681.55
Zimbabwe Electoral Commission,11.8,08/30/2019,0.0,08/09/2019,-100.0
Wake (ceremony),528.2,09/01/2019,593.8,09/20/2019,12.42
Second round of voting in the 2008 Zimbabwean presidential election,3.8,08/29/2019,10.6,09/06/2019,178.95
Gideon Gono,26.4,08/12/2019,99.8,09/13/2019,278.03
Northern Rhodesia,409.6,09/20/2019,1202.8,09/06/2019,193.65
Lancaster House Agreement,0.0,08/09/2019,1398.4,09/06/2019,0
Citizen's arrest,596.4,09/21/2019,1120.2,09/12/2019,87.83
Sabina Mugabe,8.0,09/01/2019,369.6,09/06/2019,4520.0
Joseph Arthur Ankrah,56.0,08/31/2019,85.0,09/06/2019,51.79
Vitalis Zvinavashe,15.2,08/29/2019,43.6,09/07/2019,186.84
Enos Nkala,18.4,08/14/2019,113.2,09/06/2019,515.22
Communist state,1804.2,09/14/2019,2605.2,10/01/2019,44.4
Ernesto Samper,161.4,09/17/2019,217.4,09/05/2019,34.7
Zimbabwe Rhodesia,228.8,09/26/2019,1194.2,09/06/2019,421.94
Gang rape,673.4,09/14/2019,837.6,08/12/2019,24.38
John Sentamu,128.2,08/21/2019,245.8,09/06/2019,91.73
Northern Ndebele people,196.6,08/30/2019,982.6,09/06/2019,399.8
Marxism,0.0,08/10/2019,5316.4,09/24/2019,0
The Guardian,4449.8,09/07/2019,5292.6,09/23/2019,18.94
Prime Minister of Zimbabwe Rhodesia,70.8,09/04/2019,112.4,09/06/2019,58.76
Clifford Dupont,46.6,08/30/2019,354.2,09/06/2019,660.09
Obert Mpofu,11.6,08/12/2019,31.8,09/06/2019,174.14
Uhuru Kenyatta,725.2,09/28/2019,1149.0,09/14/2019,58.44
Zimbabwean cholera outbreak,0.0,08/10/2019,24.4,09/18/2019,0
Amnesty International,1220.2,08/25/2019,0.0,08/09/2019,-100.0
International Association of Genocide Scholars,20.0,08/16/2019,55.2,09/06/2019,176.0
Hailemariam Desalegn,137.4,08/23/2019,150.0,09/25/2019,9.17
Joshua Nkomo,145.6,09/01/2019,3989.0,09/06/2019,2639.7
Ronald Reagan,10497.6,09/07/2019,11940.8,08/27/2019,13.75
