File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Astrakhan Oblast,138.4,09/29/2021,256.8,09/17/2021,85.55
European Parliamentary Research Service,8.4,08/29/2021,16.2,09/15/2021,92.86
Communist Party of Social Justice,5.8,09/11/2021,21.6,09/20/2021,272.41
Courthouse News Service,18.6,09/22/2021,28.6,09/17/2021,53.76
Dmitry Gudkov,19.0,10/09/2021,129.8,09/15/2021,583.16
Electronic voting,282.4,08/28/2021,501.0,10/12/2021,77.41
Krasnoyarsk Krai,364.2,09/23/2021,483.0,09/15/2021,32.62
Nikolai Bondarenko,29.6,09/04/2021,269.4,09/19/2021,810.14
United Russia,996.2,10/15/2021,6824.4,09/20/2021,585.04
2020 Russian constitutional referendum,111.6,08/27/2021,311.0,09/20/2021,178.67
Google,49761.0,09/12/2021,115372.8,09/27/2021,131.85
Post-Soviet states,1046.6,10/07/2021,1848.0,09/04/2021,76.57
Voting machine,89.6,08/28/2021,184.8,10/05/2021,106.25
Yandex,0.0,08/23/2021,8479.2,09/20/2021,0
Ultranationalism,590.8,09/11/2021,775.2,10/13/2021,31.21
Nikolai Starikov,13.8,09/11/2021,29.2,09/20/2021,111.59
Pavel Grudinin,79.0,09/29/2021,330.2,09/20/2021,317.97
"Russian Ecological Party ""The Greens""",19.6,10/16/2021,585.8,09/20/2021,2888.78
Gennady Semigin,14.6,09/27/2021,42.8,09/20/2021,193.15
Yaroslavl Oblast,92.2,09/04/2021,149.2,09/27/2021,61.82
Electoral fraud,0.0,08/22/2021,616.0,09/20/2021,0
Eastern Ukraine,125.0,09/03/2021,154.0,08/24/2021,23.2
2020 amendments to the Constitution of Russia,151.6,10/01/2021,262.4,09/20/2021,73.09
Democratic socialism,1826.0,09/11/2021,2316.8,09/27/2021,26.88
Donetsk People's Republic,1096.6,10/02/2021,1525.2,09/01/2021,39.08
Khabarovsk Krai,285.2,09/14/2021,344.4,09/20/2021,20.76
Right-wing politics,1224.0,10/16/2021,2895.2,09/21/2021,136.54
Rostov Oblast,168.4,10/15/2021,281.4,09/17/2021,67.1
YouTube,73155.0,10/10/2021,100892.4,09/20/2021,37.92
Jewish Autonomous Oblast,936.0,09/08/2021,0.0,08/22/2021,-100.0
Russian All-People's Union,43.8,10/13/2021,374.0,09/20/2021,753.88
1996 Russian presidential election,126.4,10/16/2021,874.4,09/20/2021,591.77
Europe Elects,0.0,08/23/2021,48.4,09/26/2021,0
Free and fair election,0.0,08/22/2021,147.6,10/05/2021,0
Impact of the COVID-19 pandemic on politics,64.6,09/04/2021,95.6,09/22/2021,47.99
Tactical voting,89.4,08/28/2021,163.0,08/25/2021,82.33
Google Docs,9097.6,09/18/2021,11755.8,09/15/2021,29.22
Ministry of Foreign Affairs of Georgia,15.6,09/29/2021,23.8,10/04/2021,52.56
CPRF,12.6,09/07/2021,30.8,09/20/2021,144.44
Ivan Zhdanov,20.6,10/09/2021,52.0,09/17/2021,152.43
Udmurtia,241.8,09/03/2021,297.6,09/17/2021,23.08
Republic of Crimea,610.8,10/09/2021,813.8,09/09/2021,33.24
Union State,448.0,08/29/2021,1114.2,09/10/2021,148.71
Luhansk People's Republic,612.4,09/03/2021,801.0,09/29/2021,30.8
Economic liberalism,686.6,08/29/2021,941.8,09/21/2021,37.17
1921 Russian Supreme Soviet election,8.4,08/31/2021,18.2,09/28/2021,116.67
Plurality voting,225.6,09/04/2021,518.2,09/21/2021,129.7
Russian government response to the COVID-19 pandemic,30.4,09/18/2021,44.8,10/08/2021,47.37
Populist,158.4,08/27/2021,241.2,10/08/2021,52.27
Dmitry Medvedev's Second Cabinet,27.6,08/31/2021,58.8,09/20/2021,113.04
Tver Oblast,94.6,09/04/2021,135.0,09/22/2021,42.71
Buryatia,393.2,10/08/2021,428.2,09/16/2021,8.9
Elections in Russia,99.4,10/16/2021,841.8,09/20/2021,746.88
Dmitry Medvedev,1102.4,10/16/2021,4166.2,09/12/2021,277.92
1906 Russian legislative election,50.4,09/08/2021,74.2,09/20/2021,47.22
Organization for Security and Co-operation in Europe,368.6,08/28/2021,577.8,10/05/2021,56.76
2018 Russian presidential election,238.0,10/16/2021,1993.0,09/20/2021,737.39
Ministry of Defence (Russia),127.8,10/09/2021,219.8,09/15/2021,71.99
Sevastopol,607.4,10/16/2021,1253.8,09/06/2021,106.42
North Ossetia–Alania,185.8,10/16/2021,394.6,09/01/2021,112.38
Office for Democratic Institutions and Human Rights,24.4,08/28/2021,51.6,09/15/2021,111.48
Kamchatka Krai,347.6,09/11/2021,391.8,10/03/2021,12.72
Roskomnadzor,7.6,10/16/2021,31.0,09/20/2021,307.89
Dozhd,68.0,09/24/2021,148.6,08/31/2021,118.53
Occupied territories of Georgia,217.8,09/20/2021,301.0,09/29/2021,38.2
Franklin D. Roosevelt,6733.0,10/16/2021,12463.0,09/09/2021,85.1
2003 Russian legislative election,105.4,10/13/2021,1259.8,09/20/2021,1095.26
Liberal Democratic Party of Russia,318.8,10/16/2021,4017.4,09/20/2021,1160.16
Sergey Lavrov,218.0,10/16/2021,847.6,09/17/2021,288.81
Smart Voting,63.2,09/01/2021,1117.6,09/17/2021,1668.35
Yakutia,116.8,09/08/2021,160.2,09/19/2021,37.16
Moscow City Duma,60.0,08/28/2021,165.0,09/20/2021,175.0
Election monitoring,43.4,09/01/2021,61.6,09/17/2021,41.94
Communitarianism,0.0,08/22/2021,769.0,09/22/2021,0
2018 Russian pension protests,18.6,10/08/2021,69.0,09/19/2021,270.97
2007 Russian legislative election,100.6,10/13/2021,1392.0,09/20/2021,1283.7
Ryazan Oblast,78.4,10/13/2021,102.2,09/17/2021,30.36
"Apple, Inc.",27.2,09/01/2021,47.4,09/17/2021,74.26
2004 Russian presidential election,153.4,10/01/2021,551.6,09/20/2021,259.58
Maksim Shevchenko (journalist),14.0,10/06/2021,106.4,09/19/2021,660.0
COVID-19 pandemic in Russia,679.0,09/03/2021,582.2,10/16/2021,-14.26
Supermajority,322.4,09/11/2021,458.6,09/29/2021,42.25
2016 Russian elections,10.4,09/08/2021,43.0,09/20/2021,313.46
2019 Moscow City Duma election,31.8,09/02/2021,245.0,09/20/2021,670.44
Vladimir Zhirinovsky,205.0,10/16/2021,1438.2,09/20/2021,601.56
Nikolay Rybakov,22.2,10/14/2021,113.8,10/08/2021,412.61
Boris Titov,0.0,08/23/2021,158.4,09/20/2021,0
National conservatism,372.6,09/01/2021,561.6,09/26/2021,50.72
Centre-left politics,877.6,08/28/2021,2347.6,09/27/2021,167.5
Abkhazia,2016.4,09/11/2021,3245.2,08/26/2021,60.94
United States Department of State,644.0,10/16/2021,1641.6,08/27/2021,154.91
2018 Russian gubernatorial elections,9.2,09/11/2021,22.0,09/20/2021,139.13
Tambov Oblast,58.0,09/13/2021,76.6,09/17/2021,32.07
Marxism–Leninism,1925.8,09/18/2021,2010.4,08/27/2021,4.39
Far-right politics,2119.6,10/02/2021,2970.0,09/21/2021,40.12
TASS,195.4,09/16/2021,225.8,09/20/2021,15.56
Social conservatism,606.6,08/26/2021,592.0,10/16/2021,-2.41
Altai Republic,482.8,09/13/2021,0.0,08/23/2021,-100.0
Rifat Shaykhutdinov,0.0,08/22/2021,386.0,09/20/2021,0
Belgorod Oblast,90.2,09/11/2021,236.6,09/16/2021,162.31
Right-wing,297.6,10/08/2021,416.8,09/21/2021,40.05
Russian nationalism,178.6,08/29/2021,332.6,09/19/2021,86.23
Constitution of Russia,181.8,09/25/2021,842.8,08/27/2021,363.59
Orenburg Oblast,130.6,09/09/2021,351.4,09/14/2021,169.07
January 1907 Russian legislative election,37.4,10/09/2021,60.4,09/21/2021,61.5
Carnegie Moscow Center,21.2,08/26/2021,35.2,09/10/2021,66.04
Chelyabinsk Oblast,187.6,09/09/2021,298.4,09/16/2021,59.06
Vologda Oblast,92.8,09/12/2021,696.8,09/16/2021,650.86
Oryol Oblast,58.0,10/08/2021,142.2,09/20/2021,145.17
Podolsk cadets,21.2,10/12/2021,302.6,09/20/2021,1327.36
Lyubov Sobol,62.4,10/15/2021,232.4,08/30/2021,272.44
The Ukrainian Week,8.8,09/05/2021,16.0,08/27/2021,81.82
Tomsk Oblast,93.4,09/11/2021,142.0,09/17/2021,52.03
Anti-Corruption Foundation,45.2,10/16/2021,236.0,09/17/2021,422.12
Grigory Yavlinsky,94.0,09/09/2021,257.0,09/20/2021,173.4
Referendum,516.6,08/28/2021,686.6,08/31/2021,32.91
Chechnya,2649.6,10/01/2021,4431.2,09/13/2021,67.24
Vladimir Putin,6421.6,10/16/2021,13674.2,10/04/2021,112.94
Pavel Durov,1777.8,10/02/2021,4149.8,10/05/2021,133.42
Kostroma Oblast,31.4,10/16/2021,145.4,09/15/2021,363.06
Alexander Karelin,20.4,09/30/2021,30.4,09/05/2021,49.02
2017 Russian gubernatorial elections,3.6,08/30/2021,7.6,09/21/2021,111.11
1993 Russian legislative election,102.6,09/04/2021,815.0,09/20/2021,694.35
Ballot-stuffing,4.2,09/08/2021,9.6,08/26/2021,128.57
Federalism,1417.2,08/29/2021,1860.2,09/27/2021,31.26
Soviet patriotism,56.4,10/13/2021,172.8,09/20/2021,206.38
Snap election,157.2,10/16/2021,3904.6,09/21/2021,2383.84
Electoral threshold,98.4,08/25/2021,405.0,09/27/2021,311.59
Minister of Foreign Affairs (Russia),56.2,10/08/2021,88.8,09/24/2021,58.01
Vladimir Oblast,105.8,09/12/2021,538.8,09/16/2021,409.26
Anti-revisionism,132.2,10/02/2021,195.8,09/21/2021,48.11
Tuva,724.2,10/09/2021,826.0,09/14/2021,14.06
Smolensk Oblast,99.6,09/04/2021,138.2,09/17/2021,38.76
Green politics,236.4,10/16/2021,1191.2,09/27/2021,403.89
2008 Russian presidential election,122.0,10/15/2021,604.0,09/20/2021,395.08
Social liberalism,816.8,10/15/2021,1391.8,09/21/2021,70.4
Foreign Policy,308.4,09/04/2021,376.6,08/26/2021,22.11
1938 Russian Supreme Soviet election,6.4,09/01/2021,28.4,09/20/2021,343.75
Government of Moscow,27.6,10/09/2021,51.6,09/22/2021,86.96
Managed democracy,0.0,08/22/2021,30.0,08/26/2021,0
Arkhangelsk Oblast,219.2,09/30/2021,373.8,09/16/2021,70.53
Far-left politics,1244.8,09/25/2021,1310.2,09/27/2021,5.25
Kemerovo Oblast,123.8,09/03/2021,170.8,10/11/2021,37.96
Election silence,0.0,08/22/2021,200.2,09/20/2021,0
Irkutsk Oblast,200.4,08/27/2021,289.8,09/15/2021,44.61
Primorsky Krai,496.0,09/24/2021,612.4,09/06/2021,23.47
Kursk Oblast,87.4,09/26/2021,122.4,09/16/2021,40.05
Agence France-Presse,338.4,10/09/2021,448.0,09/29/2021,32.39
Kabardino-Balkaria,335.4,09/10/2021,532.8,09/22/2021,58.86
Interfax,42.6,09/05/2021,75.6,10/10/2021,77.46
Nikolai Fomenko,23.6,08/31/2021,0.0,08/22/2021,-100.0
All-Russia People's Front,157.4,10/16/2021,1021.6,09/20/2021,549.05
Lipetsk Oblast,52.2,09/26/2021,77.8,09/15/2021,49.04
Valentina Tereshkova,819.4,09/05/2021,1501.6,10/04/2021,83.26
Sergei Udaltsov,24.0,08/26/2021,79.2,09/21/2021,230.0
Leonid Volkov (politician),22.6,10/16/2021,201.4,09/15/2021,791.15
Ella Pamfilova,17.6,10/14/2021,201.0,09/20/2021,1042.05
1912 Russian legislative election,49.4,10/03/2021,77.4,09/19/2021,56.68
Constituencies of Russia,13.8,08/31/2021,274.2,09/20/2021,1886.96
Liberal conservatism,716.8,09/11/2021,1389.2,09/27/2021,93.81
Victoria Dayneko,18.8,10/07/2021,34.4,09/20/2021,82.98
Children's Ombudsman,12.6,09/01/2021,19.6,10/14/2021,55.56
Ulyanovsk Oblast,80.6,09/04/2021,135.2,09/20/2021,67.74
1991 Russian presidential referendum,8.2,09/29/2021,23.2,09/20/2021,182.93
Economic interventionism,143.0,08/28/2021,227.4,09/20/2021,59.02
State Duma,750.8,08/28/2021,4219.6,09/20/2021,462.01
Parallel voting,126.4,08/29/2021,269.2,09/21/2021,112.97
Perm Krai,153.0,09/03/2021,665.6,09/20/2021,335.03
Russian opposition,31.4,10/13/2021,91.8,09/16/2021,192.36
Ilya Yashin,17.4,10/16/2021,74.0,10/09/2021,325.29
For Truth,43.0,09/08/2021,186.6,09/20/2021,333.95
Sergey Shoygu,284.2,10/16/2021,1391.6,09/14/2021,389.66
Federation Council (Russia),213.4,08/28/2021,626.0,09/20/2021,193.35
Mikhail Mishustin,612.0,10/01/2021,1042.2,09/20/2021,70.29
Independent candidate,0.0,08/22/2021,44.0,10/08/2021,0
First-past-the-post voting,0.0,08/22/2021,5401.0,09/21/2021,0
Moscow,2694.8,10/16/2021,6023.8,09/15/2021,123.53
2012 Russian presidential election,163.0,10/15/2021,814.6,09/20/2021,399.75
GitHub,0.0,08/22/2021,6512.4,09/21/2021,0
