File,Percent Increase
Rainer Weiss,21034.12
LIGO Scientific Collaboration,17036.84
Gravitational wave,15742.84
LIGO,10353.42
Russell Alan Hulse,9189.76
Virgo interferometer,6868.72
"Joseph Hooton Taylor, Jr.",5439.52
Einstein Telescope,5202.7
Quadrupole formula,5135.71
Gravitational-wave observatory,4809.97
KAGRA,4640.85
INDIGO,4539.66
Southern Celestial Hemisphere,3887.5
Gravitational-wave astronomy,3836.86
GEO600,3826.6
Joseph Weber,3598.52
AIGO,3517.86
Weber bar,3307.41
Deci-hertz Interferometer Gravitational wave Observatory,3200.0
PSR B1913+16,2829.94
Hulse–Taylor binary,2747.54
Sticky bead argument,2677.78
"Livingston, Louisiana",2576.5
Hyper-compact stellar system,2523.81
Barry Barish,2400.0
Georges Lemaître,2333.84
Einstein@Home,2256.08
Big Bang Observer,2234.55
European Gravitational Observatory,2145.16
History of general relativity,2095.97
Gravitational wave astronomy,1970.45
TAMA 300,1917.78
Gravitational wave detector,1734.55
Binary black hole,1668.79
MiniGrail,1647.22
North American Nanohertz Observatory for Gravitational Waves,1633.33
Gravity wave,1555.93
Mario Schenberg (Gravitational Wave Detector),1548.0
Primordial gravitational wave,1525.71
Law of conservation of linear momentum,1440.0
Gravitational wave background,1424.89
AURIGA,1400.0
Space Apprentice,1348.39
Allegro gravitational-wave detector,1317.24
European Pulsar Timing Array,1301.96
Speed of gravity,1246.93
Laser Interferometer Space Antenna,1188.85
Kip Thorne,1143.32
SDSS J0927+2943,1133.33
15 Eunomia,1078.69
CLIO,1059.52
Pulsar timing array,1054.44
International Pulsar Timing Array,981.25
Howard P. Robertson,861.79
Rapidity,855.74
Superconducting,847.97
Binary pulsar,810.83
Megaparsec,783.45
Stellar collision,755.09
LISA Pathfinder,728.48
Felix Pirani,707.35
Richard Feynman,705.05
Extreme mass ratio inspiral,668.89
BICEP2,664.35
General relativity,656.85
Joseph Hooton Taylor Jr.,648.78
Spacetime,634.98
Numerical relativity,621.57
Einstein field equations,606.62
Tests of general relativity,605.05
HE0450-2958,595.12
Graviton,569.11
Gravitomagnetism,530.82
Dennis Overbye,529.49
James Webb Space Telescope,491.72
Spin-flip,472.73
Bernard F. Schutz,452.63
Linearized gravity,446.56
Recombination (cosmology),415.64
Strain (materials science),413.6
Theory of relativity,410.56
Cosmic string,393.04
Michelson interferometer,382.38
Introduction to general relativity,377.58
Gravitational lens,376.67
Two-body problem in general relativity,368.63
List of contributors to general relativity,363.33
Gamma ray burst,343.85
Roy Kerr,332.83
Gravitoelectromagnetism,322.99
General theory of relativity,316.56
Marcia Bartusiak,306.06
Werner Israel,302.05
Pulsars,292.05
Pp-wave spacetime,286.96
David Kaiser,285.71
Mount Everest,284.33
Mathematics of general relativity,260.28
Charles W. Misner,252.07
Alternatives to general relativity,249.39
Richard Garwin,241.29
Geodetic effect,235.5
Einstein cross,234.67
Whole genome sequencing,234.51
Stephen Hawking,232.17
Karl Schwarzschild,231.38
Sextillion,222.0
Oliver Heaviside,221.26
California Institute of Technology,216.27
Gravitational redshift,215.06
Fabry–Pérot interferometer,214.96
Nathan Rosen,209.88
Stellar black hole,208.23
Green Bank Telescope,205.38
Magellanic Clouds,204.7
Infrared light,203.36
Kerr metric,200.0
Abraham H. Taub,200.0
Black hole,196.43
Birkhoff's theorem (relativity),194.74
Quasars,194.37
Diaspora (novel),190.61
Robert Geroch,190.16
Science (TV network),188.39
Mach's principle,186.13
Prussian Academy of Sciences,182.63
Spirit (rover),181.61
National Science Foundation,178.17
Exact solutions in general relativity,177.98
Special relativity,176.58
Gravitational field,173.48
Kamioka Observatory,172.73
Arecibo Observatory,172.39
Minkowski space,171.1
Timeline of gravitational physics and relativity,168.99
John Archibald Wheeler,168.84
Hans Reissner,163.95
Albert Einstein,163.31
Penrose diagram,162.5
Inversely proportional,162.42
Edward Arthur Milne,160.27
Radio telescopes,158.73
Problem book,157.58
Neutron star,155.66
Multipole moments,154.29
BKL singularity,154.0
Twin paradox,152.13
Kilonova,150.41
Dolly (sheep),149.74
Quadrupole,148.33
Chongqing University,147.7
Interstellar dust,145.0
Cruciform,142.54
Mathisson–Papapetrou–Dixon equations,138.18
Stress–energy tensor,138.13
Principle of relativity,135.55
Lemaître–Tolman metric,135.29
Istituto Nazionale di Fisica Nucleare,134.45
Elliptical orbit,133.33
Speed,131.82
Harry Collins,130.71
Kerr–Newman metric,130.46
Fundamental interaction,130.19
Transient astronomical event,130.19
Experiment,129.72
Hanford site,129.43
