File,Percent Increase
Claire Palley,40.0
Seewoosagur Ramgoolam,94.16
Elizabeth II,0
Moktar Ould Daddah,124.8
Cataract,26.57
Rhodesia Prison Service,232.56
Human Rights Quarterly,236.11
Henry Everard,953.89
Zimbabwe National Liberation War Veterans Association,176.39
Herbert Chitepo,804.9
Neelam Sanjiva Reddy,46.95
World Bank,41.31
Matabeleland South,247.92
Chegutu,257.41
Zimbabwe African National Union – Patriotic Front,1015.61
Emigration,0
Chenjerai Hunzvi,588.73
Maurice Nyagumbo,530.19
Moussa Traoré,0.93
Kofi Annan,0
Andrews Air Force Base,72.33
Sally Mugabe,12251.72
Mugabe's Zimbabwe,2441.67
Catechist,414.29
Simon Khaya-Moyo,51.63
Roman Catholic,13.41
Conservative Alliance of Zimbabwe,1098.28
Bachelor of Education,34.87
Oppression,54.19
Irish War of Independence,4.65
Organisation of African Unity,45.53
Zimbabwe Congress of Trade Unions,155.56
Southern Rhodesia,526.12
Electoral fraud,39.04
Julia Tukai Zvobgo,1000.0
2008–09 Zimbabwean political negotiations,0
Mike Nyambuya,238.89
United African National Council,1206.25
Reuters,40.46
Internal Settlement,338.96
Mengistu Haile Mariam,38.54
House arrest,16.55
Crimes against humanity,14.19
Charles Coghlan (politician),386.05
Mugabe (disambiguation),2128.12
Jakaya Kikwete,21.7
Zimbabwe,394.8
David Parirenyatwa,181.08
Vote of no confidence,42.19
Zimbabwe Unity Movement,603.23
White House,33.12
Zvimba District,1800.0
Joaquim Chissano,84.46
International Criminal Court,41.83
Ndabaningi Sithole,753.5
Laurent Kabila,106.16
1985 Zimbabwean parliamentary election,759.84
Négritude,62.21
Nicolás Maduro,0
2008 Zimbabwean general election,741.81
Blaise Compaoré,-100.0
LGBT rights,118.53
Ilham Aliyev,52.28
Ken Flower,63.87
The Standard (Zimbabwe),400.0
2000 Zimbabwean constitutional referendum,534.78
Racial discrimination,0
Hosni Mubarak,97.94
Zvishavane,294.59
Geneva Conference (1976),92.31
1980 Southern Rhodesian general election,1124.05
Branko Kostić,48.78
Mainstream economics,55.34
World Health Organization,33.46
Double standards,185.19
Abel Muzorewa,947.29
Quelimane,13.08
1948 in Southern Rhodesia,0
Rugare Gumbo,296.55
Mohamed Ould Abdel Aziz,48.77
Human rights in Zimbabwe,681.55
Zimbabwe Electoral Commission,-100.0
Wake (ceremony),12.42
Second round of voting in the 2008 Zimbabwean presidential election,178.95
Gideon Gono,278.03
Northern Rhodesia,193.65
Lancaster House Agreement,0
Citizen's arrest,87.83
Sabina Mugabe,4520.0
Joseph Arthur Ankrah,51.79
Vitalis Zvinavashe,186.84
Enos Nkala,515.22
Communist state,44.4
Ernesto Samper,34.7
Zimbabwe Rhodesia,421.94
Gang rape,24.38
John Sentamu,91.73
Northern Ndebele people,399.8
Marxism,0
The Guardian,18.94
Prime Minister of Zimbabwe Rhodesia,58.76
Clifford Dupont,660.09
Obert Mpofu,174.14
Uhuru Kenyatta,58.44
Zimbabwean cholera outbreak,0
Amnesty International,-100.0
International Association of Genocide Scholars,176.0
Hailemariam Desalegn,9.17
Joshua Nkomo,2639.7
Ronald Reagan,13.75
Africanews,10.53
Nicholas Goche,135.0
LGBT rights in Zimbabwe,301.45
P. K. van der Byl,40.16
Chairperson of the Organisation of African Unity,0
Cyril Ramaphosa,136.89
Human Rights Watch,-4.53
Chemotherapy,31.48
Siad Barre,82.82
Julius Nyerere,0
Haile Selassie,28.12
Omar Bongo,0
President of Zimbabwe,1764.6
Jonathan Moyo,346.27
Chieftain,182.8
Kutama College,1523.81
Mugabe,2325.64
Rhodesia's Unilateral Declaration of Independence,233.78
Léopold Sédar Senghor,48.7
Wayback Machine,32.64
Robert Gabriel Mugabe International Airport,265.36
Movement for Democratic Change (pre-2005),577.55
Lobengula,0
Movement for Democratic Change – Tsvangirai,656.86
Diarrhoea,177.37
Cause of death,61.14
An Yue Jiang,213.33
Socialist Republic of Romania,47.77
Janez Drnovšek,286.41
Zimbabwe National Army,272.97
Marxism–Leninism,0
