File,Percent Increase
Al-Dumayr offensive (April 2016),152.63
Iran–Oman relations,-3.9
Tunisian Ba'ath Movement,17.95
Syrian Arab Army,0
Abu Layla,109.09
Abu Humam al-Shami,163.38
Hittites,34.87
Donald Trump's disclosures of classified information,924.11
Obama–Medvedev Commission,-100.0
Operation al-Shabah,0
Daraa and As-Suwayda offensive (June 2015),0
April 2015 Qalamoun incident,47.22
2009 Sudan airstrikes,195.59
Bureau of Near Eastern Affairs,123.38
Direct democracy,72.92
Al-Qusayr offensive,-9.34
Astana,26.33
Netherlands,-100.0
Quneitra offensive (June 2015),0
Diversity (politics),229.27
Iran–United States relations after 1979,53.23
Center on Global Interests,13.33
2017 Russian Air Force Al-Bab incident,23.48
Iranian involvement in the Syrian Civil War,254.04
The Times of Israel,42.23
Iraq,-23.53
Gaza–Israel conflict,178.0
Abu Ali al-Anbari,0.0
Kurdistan Democratic Party,-15.74
Movement for a Democratic Society,18.64
May 2015 U.S. special forces raid in Syria,0
Russian involvement in the Syrian Civil War,1629.71
Romanization of Arabic,14.3
Bank Markazi v. Peterson,67.53
Arms trafficking,30.98
Syrian Civil War,553.74
Christianity in Syria,218.87
Fahd Jassem al-Freij,0
Turkish Armed Forces casualties in Syria,165.71
United Nations Human Rights Council,35.47
Kurdification,201.37
Shabiha,0
Little Satan,38.1
Francop Affair,-100.0
Institute of Modern Russia,43.01
List of massacres during the Syrian Civil War,282.67
Amphetamine,35.34
Yarmouk Martyrs Brigade,0
Druze,202.38
Operation Olive Branch,246.81
2015 Zabadani cease-fire agreement,52.31
People's Protection Units,162.34
December 2011 Syrian–Turkish border clash,100.0
Syrian Kurds,280.88
Mohammed al-Awwad,145.83
ISIL,278.19
Krak des Chevaliers,23.22
Lebanon,-14.66
Lawrence Franklin espionage scandal,101.22
1979 Khuzestan insurgency,-100.0
United States special operations forces,3.77
2017 Western Iraq campaign,-13.31
Great Satan,-23.72
"Embassy of the United States, Moscow",345.99
Arameans,-7.43
Palmyra Castle,199.36
Western Nineveh offensive (2017),26.14
Canadian Caper,36.89
2017 Tehran attacks,-10.6
Rif Dimashq offensive (November 2012–February 2013),0
Operation Staunch,-100.0
1987 Mecca incident,-7.42
Durham University,87.29
Battle of Idlib (2012),38.78
Feminism,110.08
Anti-Terror Units,3.49
Masoud Alimohammadi,17.43
Syrian diaspora,-0.69
Free Syrian University,40.48
Operation Praying Mantis,-6.28
Kurdistan 24,34.53
Deir ez-Zor offensive (April–July 2014),0
Qatar diplomatic crisis,110.0
Jihad Mughniyah,6.75
Countering America's Adversaries Through Sanctions Act,382.06
Syrian Observatory for Human Rights,289.28
Religious,19.83
Armenians in Syria,98.65
Anti-American sentiment in Russia,42.96
Siege of Kobanî,73.71
Hassan Nasrallah,8.85
Syria and weapons of mass destruction,863.0
Clothing,30.95
Daraa offensive (March–April 2016),0
Saudi Arabian-led intervention in Yemen,131.36
Trita Parsi,0
Social equality,63.95
Arctic Council,29.47
Aljazeera.com,-10.66
Reuters,15.63
2015 Southern Syria offensive,0
Damascus offensive (2013),210.16
Riad al-Asaad,236.59
Yassin al-Haj Saleh,10.5
Turkish military operation in Idlib Governorate,212.61
Demographics of Lebanon,25.34
Iran hostage crisis negotiations,-100.0
Dames & Moore v. Regan,246.25
Arab Socialist Movement,50.53
AMIA bombing,41.63
Denmark,-100.0
Khaled Khoja,0
Aleppo offensive (August–September 2016),69.35
Vetoed United Nations Security Council resolutions on Syria,354.66
Randa Kassis,46.38
Islamic Revolutionary Guard Corps,54.02
Mark Mazzetti,337.08
Jaysh al-Izza,0
Iranian frozen assets,-100.0
Sudanese Ba'ath Party,273.91
Human rights abuses,54.84
Freedom of association,29.98
Syrian Desert campaign (December 2016–April 2017),70.34
1983 Beirut barracks bombings,29.67
Crimes against humanity,23.1
Battle of Tell Abyad (2013),3.51
Haleh Esfandiari,84.31
Elliott Abrams,93.23
C. J. Chivers,189.47
Nasserism,-6.95
Brian Hook,1381.4
Syro-Palestinian archaeology,48.94
Humanitarian aid during the Syrian Civil War,167.27
May 2016 Jableh and Tartous bombings,0
Al-Araby Al-Jadeed,46.52
Alawites,181.76
Lebanon–Syria border clashes,157.58
Operation Martyr Muath,-7.27
Fox News,47.33
Ba'ath Party (Iraqi-dominated faction),13.06
Muhammad al-Baridi,0
Valery Asapov,132.6
State religion,215.36
Assassination of Iranian nuclear scientists,148.2
Rif Dimashq offensive (June–October 2016),165.89
The National (Abu Dhabi),113.9
International Criminal Court,239.86
ReliefWeb,41.21
Casualties of the Syrian Civil War,113.88
Iran–America Society,50.0
Islamism,21.25
Abu Khalid al-Suri,98.32
Ithriyah-Raqqa offensive (February–March 2016),0
2017 Abu Kamal offensive,36.23
Timeline of the Iranian hostage crisis,90.41
East Ghouta inter-rebel conflict (April–May 2017),608.1
Hassan Shateri,16.35
February 2016 Homs bombings,0
Eric P. Schmitt,-100.0
Battle of Al-Shaykh Maskin (2014),19.23
Battle of Rastan (January–February 2012),0
Battle of Zabadani (2012),101.89
Popular Front for the Liberation of Palestine – General Command,57.9
Eastern Homs offensive (2017),0
Maher al-Assad,469.21
Authoritarianism,13.05
2015 Russian Sukhoi Su-24 shootdown,70.69
Ammar al-Qurabi,0
Fuad al-Rikabi,0
Typhoid,11.73
2012 Hama offensive,29.81
Soviet Union–United States relations,49.2
Women's Protection Units,283.53
Qatari involvement in the Syrian Civil War,118.75
East Ghouta inter-rebel conflict (April–May 2016),224.26
Stephen Holmes (CIA),120.83
Syria chemical weapons program,4860.0
Chemical Weapons Convention,0
World Health Organization,55.92
Xiyue Wang,173.33
1992 attack on Israeli embassy in Buenos Aires,213.91
Free Syrian Army,0
Iran–Kuwait relations,31.71
Syriac Military Council,55.73
1979 Qatif Uprising,0
Ibrahim Qashoush,17.36
Genocide,2.92
TOS-1,57.94
Illegals Program,1344.97
Operation Okra,-2.72
Hepatitis,13.94
Norway,-100.0
United Nations Security Council Resolution 2231,52.82
Destruction of Syria's chemical weapons,1444.2
Infectious disease,53.46
Abu Omar al-Turkistani,56.52
List of political parties in Rojava,255.56
UN,52.07
Morocco,14.82
Hilal al-Assad,132.31
October 2016 Idlib Governorate clashes,0
Violations Documentation Center in Syria,1086.76
Michel Aflaq,46.48
Rif Dimashq offensive (August–November 2014),0
Khobar Towers bombing,43.9
Ali Reza Tavassoli,24.68
2008 U.S.–Iranian naval dispute,30.77
Al-Sanadid Forces,-24.58
Iran–United States Claims Tribunal,-100.0
CBS News,16.85
Polity,39.74
World Heritage Site,11.02
Christians,24.91
Khan al-Assal chemical attack,0
North Lebanon clashes (2014),0
2013 Latakia offensive,0
Rojava,101.85
Liwa al-Haqq (Idlib),78.57
Polyethnicity,137.41
The Guardian,11.76
Muslim,3.34
Rifaat al-Assad,0
Great Mosque of Aleppo,25.48
Ba'ath Party (Syrian-dominated faction),415.06
Salah Jadid,119.14
Idlib Governorate clashes (September 2011 – March 2012),0
United States involvement in regime change,25.34
Sinjar Resistance Units,178.22
Group of the One and Only,0
Manbij,239.69
Khorasan group,-0.47
Liwa al-Quds,0
Caesar Syria Civilian Protection Act,73.81
Arab Socialist Ba'ath Party – Iraq Region,6.31
2000 Hezbollah cross-border raid,59.18
Monumental Arch of Palmyra,-11.62
2012 attacks on Israeli diplomats,-3.85
Energy in Syria,64.71
Amnesty International,62.77
Majid Shahriari,369.23
U.S. Russia Foundation,236.73
Wagner Group,-100.0
"Madaya, Syria",8.59
Gulmurod Khalimov,55.17
2017 Mayadin offensive,17.59
Geneva II Conference on Syria,110.59
Supreme Council of the Syrian Revolution,12.22
Kamal al-Labwani,0
Hatla massacre,27.78
Sednaya Prison,0
May 2013 Rif Dimashq airstrikes,51.06
One-party state,33.24
Nizar Zakka,257.45
United States Armed Forces,-2.18
