File,Percent Increase
Ethiopia,161.82
2006 United States House of Representatives Democratic Caucus leadership election,39.66
60 Minutes,301.08
Elizabeth Alexander (press secretary),6838.03
COVID-19 pandemic in Florida,89.11
Elizabeth II,749.21
Angela Nicole Walker,2188.71
Barack Obama 2012 presidential campaign,2882.93
George H. W. Bush administration,279.03
COVID-19 pandemic in Alaska,59.97
Federal Emergency Management Agency,36.87
Eric Garcetti,130.88
Bongbong Marcos,63.44
Brett Giroir,608.2
Bob Barr 2008 presidential campaign,225.64
Charles Manatt,250.0
1932 Democratic National Convention,69.71
Andrew Jackson,0
COVID-19 pandemic in Nebraska,95.49
Catholic,61.56
Austan Goolsbee,0
2012 Green National Convention,118.52
Barbara B. Kennelly,17.65
Ayad Allawi,73.26
2020 stock market crash,67.35
Chan Santokhi,184.51
Denver,36.82
Arms trafficking,-19.68
George R. Riddle,18.52
COVID-19 pandemic in Nevada,78.86
Florida Democratic Party,253.65
106th United States Congress,141.09
Barbados,16.11
108th United States Congress,148.41
Anthony Higgins (politician),165.22
Andrés Manuel López Obrador,169.0
Draft (politics),138.07
Charles H. Townes,50.09
Budget Control Act of 2011,522.17
Claude Kitchin,34.09
Albania,26.41
2012 Democratic Party presidential primaries,1031.67
Democratic Party of Virginia,324.26
Anthony Foxx,228.63
Background check,115.23
Fair Credit Reporting Act,25.38
Donald Fowler,59.62
1920 Democratic National Convention,103.23
COVID-19 pandemic in Arkansas,78.18
2002 United States Senate election in Delaware,497.37
2008 Republican Party presidential debates and forums,107.69
1868 Democratic National Convention,229.01
Caitlin Rivers,180.95
1988 United States Senate elections,140.08
Democratic Party of Guam,51.81
COVID-19 pandemic in Kansas,0
Family of Joe Biden,5876.32
Center for Democracy and Technology,235.29
1916 Democratic National Convention,5.42
COVID-19 pandemic in Puerto Rico,36.41
Cordell Hull,62.47
Gary Johnson,1997.43
Eritrea,135.99
Director of National Intelligence,266.27
2000 Democratic National Convention,128.44
Alexander De Croo,1049.82
Chad,28.3
Donald Trump 2020 presidential campaign,1124.03
Debbie Wasserman Schultz,503.47
COVID-19 pandemic in the Guantanamo Bay Naval Base,196.1
Czech Republic,29.54
Denmark,11.23
COVID-19 pandemic in Oregon,207.61
Abdelmadjid Tebboune,614.41
COVID-19 pandemic in New York (state),42.79
Charles H. Percy,182.35
Belarus,32.61
Chuck Baldwin 2008 presidential campaign,44.62
Civil rights movement,36.3
Andrei Gromyko,120.16
Andy Martin,145.41
2012 Democratic National Convention,0
Gitanas Nausėda,188.78
Fox News,717.41
Georgia (country),58.13
Dan Quayle,383.7
101st United States Congress,169.0
Dritan Abazović,568.49
Ash Carter,462.21
Family Educational Rights and Privacy Act,82.39
1904 Democratic National Convention,34.16
Brunei,186.67
George Floyd protests,87.83
2020 South Carolina Democratic primary,405.1
Eduard Heger,521.43
Alexander Lukashenko,4.86
Democratic Party (United States),1663.71
Dwight D. Eisenhower,205.31
Boston Tea Party (political party),234.31
Claiborne Pell,111.99
Chile,65.85
Deborah Birx,271.07
Alain Berset,0
Fred R. Harris,130.28
District of Columbia Democratic State Committee,277.7
COVID-19 pandemic in the San Francisco Bay Area,87.97
Defense pact,80.0
Cloture,327.75
Deval Patrick,117.53
Federated States of Micronesia,31.93
21st Century Cures Act,333.2
1984 State of the Union Address,0
Faisal of Saudi Arabia,22.44
2020 Republican Party presidential debates,2520.75
1968 Democratic National Convention,0
Ben Bernanke,408.32
Faure Gnassingbé,51.8
Alan Cranston,475.49
Frederick Van Nuys,100.0
Ellen Segal Huvelle,0
Andrew Yang,1081.82
COVID-19 pandemic in Mississippi,88.56
"Garden City, New York",18.37
Botswana,-100.0
Birthday Party (political party),31053.66
General Services Administration,0
Emilio Segrè,96.56
FactCheck.org,296.95
Concord Monitor,100.0
Carl Levin,398.8
Dennis Kucinich 2008 presidential campaign,228.04
CBS News,366.27
COVID-19 pandemic in Maine,69.68
Alan Keyes,468.38
2020 United States elections,2472.39
Democratic Party (Puerto Rico),186.4
COVID-19 pandemic in Wyoming,69.72
Alison Cheek,87.37
Franklin D. Roosevelt,321.36
Arctic National Wildlife Refuge,194.34
Barack Obama 2008 presidential campaign,1945.49
Brock Pierce,2345.13
Cancer Breakthroughs 2020,64.51
C-SPAN,317.66
74th Tony Awards,0
George W. Norris,175.21
Alberto Gonzales,221.43
1832 Democratic National Convention,25.27
Finland,31.43
Forbes,23.9
Council of Economic Advisers,749.38
2012 United States presidential debates,551.66
Alex Azar,167.32
Corporate law,0
Civil war in Iraq (2006-07),542.11
Classified Information Procedures Act,223.08
David Ho,-100.0
Equality Act (United States),468.78
Confirmation (film),116.7
American Civil Liberties Union,63.22
Elizabeth Warren,672.53
1934 United States elections,131.03
Croatia,16.15
Butch Otter,86.51
2008 Democratic Party presidential candidates,1938.55
COVID-19 pandemic in North Dakota,82.57
COVID-19 pandemic in the Navajo Nation,267.61
Douglas Applegate,118.45
Admission to the bar in the United States,69.9
Fiji,23.54
Charles Jay,11.84
Doug Stanhope,-100.0
Congressional endorsements for the 2008 United States presidential election,0
Calvin Coolidge,547.69
Federal Election Commission,1225.83
Colin Kahl,1537.69
Frank E. McKinney,21.43
Andrew Butler,19.59
1988 United States gubernatorial elections,67.82
Cyril Ramaphosa,44.57
Emily W. Murphy,111960.38
Egypt,10.76
Frank Borman,23.0
Eastern States Multi-state Council,431.11
Bosnia and Herzegovina,30.35
American Freedom Party,171.51
2020 Republican Party presidential primaries,3013.8
António Costa,115.9
David Kabua,107.48
Bowie State University,14.11
Arayik Harutyunyan,700.98
110th United States Congress,319.25
Families First Coronavirus Response Act,0
Dick Gephardt,211.65
Dominican Republic,9.74
Ersin Tatar,1682.52
Cindy Sheehan,141.55
Face masks during the COVID-19 pandemic in the United States,19.68
George M. Dallas,770.44
Alejandro Mendoza,34.21
Clem L. Shaver,7.04
Bob Dole,468.19
Comparison of the 2008 United States presidential candidates,283.21
102nd United States Congress,174.14
Adam Clymer,92.13
105th United States Congress,939.26
