File,Percent Increase
Opinion poll,297.57
1964 Republican National Convention,25.33
Same-sex marriage in the United States,305.81
Reagan Democrat,1001.76
"Claiborne County, Mississippi",70.73
North Carolina,94.14
Eric Garcetti,161.61
Federal government of the United States,297.9
San Diego,13.41
James Hedges,6252.05
The Times of Israel,104.65
1932 Democratic National Convention,181.18
CBS Detroit,0
Libertarian National Committee,85.95
FBI,122.3
United States Census Bureau,40.36
New Hampshire,461.44
Electronic voting,875.45
Religious Freedom Restoration Act (Indiana),1779.0
2012 Green National Convention,0
1880 Republican National Convention,122.0
List of Governors of New Jersey,632.76
Right-wing populist,232.69
Governor of Louisiana,172.13
Make America Great Again,1044.44
Syrian civil war,-100.0
Voting machine,972.49
The Hill (newspaper),123.53
Liberalism in the United States,191.7
Family Entertainment Protection Act,602.84
Exit polls,585.42
1976 Republican National Convention,76.44
It Takes a Village,174.58
USA.gov,229.29
NBC Nightly News,247.11
National Election Pool,2031.46
1892 Republican National Convention,63.35
Veteran,1625.73
Governor of Massachusetts,237.22
New York State Right to Life Party,186.13
Clinton health care plan of 1993,694.02
Native Americans in the United States,35.08
United States presidential elections in California,473.73
Lobbying in the United States,148.81
Legal affairs of Donald Trump,1399.1
Article Two of the United States Constitution,369.06
"Newton, Massachusetts",14.69
2000 United States presidential election,1195.24
1920 Democratic National Convention,185.36
Wisconsin,172.68
Xavier Becerra,1708.85
1868 Democratic National Convention,121.14
American Jews,82.11
Lost television broadcast,59.07
Electoral fraud,430.2
Donald Trump Jr.,2914.84
Minnesota,70.4
Front-runner,89.76
ABC World News,25.0
Philadelphia,59.65
James Comey,6839.51
Social Security (United States),38.58
List of things named after Donald Trump,1308.36
1916 Democratic National Convention,272.97
United States presidential elections in New Mexico,304.41
NBC,43.13
Cartogram,440.46
Gary Johnson,5461.52
Illegal immigration to the United States,337.17
Republican National Convention,233.69
2000 Democratic National Convention,119.63
YouTube,296.42
MacMillan Center for International and Area Studies,81.4
Tax cut,236.93
Reuters,-100.0
United States presidential elections in Arkansas,245.33
United States presidential elections in South Dakota,281.67
Third party (United States),879.22
Maryland,68.69
Trump: The Art of the Deal,545.33
Pokémon Go,68.01
Dave Leip's Atlas of U.S. Presidential Elections,2084.0
United States presidential elections in Arizona,376.47
Exit poll,1570.75
1940 Republican National Convention,46.15
Hispanic and Latino Americans,219.97
Nature (journal),44.94
Jim Webb,297.61
Scott Bradley (politician),4352.94
United States presidential elections in Alabama,528.57
Pennsylvania,175.53
Socialist Action (United States),214.45
"Orlando, Florida",9.52
Isolationism,170.96
United States presidential elections in Nebraska,339.06
Los Angeles Times,66.37
2012 Democratic National Convention,194.89
NBCNews.com,88.06
Fox News,1557.16
News site,84.04
Clinton Foundation,975.65
Results of the 2008 Democratic Party presidential primaries,2172.91
White House Millennium Council,230.77
1904 Democratic National Convention,218.54
Columbia Journalism Review,90.15
Academic degree,22.64
Wisconsin State Journal,5.7
United States presidential elections in Utah,325.0
Marco Rubio,920.13
New York Daily News,61.36
Mormon,43.34
"Hayes County, Nebraska",56.94
2015 San Bernardino attack,349.34
Robert Mueller,1951.62
2016 Constitution Party National Convention,487.32
WikiLeaks,715.49
Colin Powell,119.93
Evan McMullin,2892.28
1952 Republican National Convention,38.52
Mindy Finn,2391.21
United States presidential elections in Hawaii,419.23
Primary elections in the United States,1001.96
"Phoenix, Arizona",14.12
Democratic Party (United States),1024.0
1876 Republican National Convention,71.98
Star Tribune,14.27
Populist Party (United States),245.49
"Petersburg, Virginia",48.26
The Wall Street Journal,39.61
Hillaryland,413.62
United States presidential elections in Connecticut,0
Laborers' International Union of North America,120.45
Working Families Party,622.27
1996 Libertarian National Convention,87.5
Whitewater controversy,1540.96
Chris Wallace,8164.33
Adoption and Safe Families Act,382.51
1968 Democratic National Convention,185.26
Tony Rodham,1316.68
American nationalism,338.32
Trump Tower,3586.54
"Memphis, Tennessee",10.25
1992 Republican National Convention,65.67
United States presidential election debates,4442.05
Sean Trende,534.43
Texas,112.72
United States presidential elections in New Jersey,175.76
Governor of Virginia,243.96
Arkansas Advocates for Children and Families,963.27
Governor of New York,187.39
Julian Assange,546.09
Paul T. Farrell Jr.,127.36
CBS News,115.01
The Intercept,130.0
List of presidents of the United States,80.95
1864 Republican National Convention,4.85
Green Party of the United States,1088.49
Christians,31.93
HuffPost,83.33
The Bronx,11.82
Wired (magazine),-100.0
Washington Examiner,1.5
San Francisco Chronicle,45.94
The Guardian,55.26
Political positions of Gary Johnson,3819.31
1980 Republican National Convention,43.44
Red states and blue states,3626.99
Stuart Rothenberg,414.53
Voice of America,63.92
Maryanne Trump Barry,1177.37
1832 Democratic National Convention,154.45
Forbes,70.96
Florida,174.64
Chris Wallace (journalist),4325.65
Collective bargaining,46.35
Rex Tillerson,1428.42
Immigration to the United States,99.55
Michigan,120.4
Hawaii,57.05
Liberty Union Party,508.74
Controlled-access highway,20.15
Moderates,1369.81
Elizabeth Warren,825.93
Mike Pence,2466.44
LGBT rights in the United States,208.78
Political action committee,189.2
Eastern Time Zone,229.94
Marla Maples,2941.64
Governor of Indiana,934.32
Asian American,76.68
List of Governors of New Mexico,826.96
Federal Election Commission,268.86
Tom Barrack,780.0
The New Yorker,51.41
Peter Skewes,1043.12
Roger Stone,-100.0
Robby Mook,344.94
Tom Vilsack,157.99
2004 Green National Convention,79.45
House of Representatives (United States),470.0
2016 Libertarian National Convention,610.06
Mexico–United States border,536.16
Joni Ernst,217.85
United States,153.81
Democratic response to 2006 State of the Union address,88.89
United States presidential elections in North Carolina,312.9
Austin Petersen,669.82
Karen Pence,2585.36
Women's Equality Party (New York),521.56
Rowman & Littlefield,54.68
Mary Fallin,352.65
Irreligion,-0.68
The Detroit News,0
New Hampshire Union Leader,186.89
American Midwest,0
Facebook,127.62
Rick Santorum,145.23
1976 United States presidential election,209.09
Alt-right,2170.93
Guccifer 2.0,542.39
The Daily Beast,71.54
Libertarian National Convention,166.01
Dorothy Howell Rodham,1184.43
"Lexington, Massachusetts",84.65
James S. Sherman,294.69
Wayback Machine,45.49
Liberal feminist,51.85
Great Lakes,36.81
United States presidential elections in Vermont,298.46
Ross Perot,958.36
1980 United States presidential election,88.68
United States Constitution,172.76
Ted Cruz,392.99
Tennessee,35.53
Prohibition Party,948.76
George Pataki,224.8
Hillary Rodham senior thesis,1687.73
Polish-American vote,506.35
1908 Republican National Convention,76.23
David Weigel,50.2
Elections in the United States,2265.05
Richard Burr,728.4
Washington (state),117.19
United States presidential elections in Minnesota,0
FBI Director,1779.07
District of Columbia,483.48
Texas Straw Poll,87.8
Qatar,41.12
1952 Democratic National Convention,77.2
Straw poll,346.39
1972 United States presidential election,215.52
Political forecasting,863.25
Speaker of the United States House of Representatives,366.72
John Hickenlooper,268.78
Daily News (New York),49.05
Carly Fiorina,231.2
United States presidential elections in Iowa,478.18
Ohio,154.7
Jill Stein,684.84
1904 Republican National Convention,66.67
H. R. McMaster,66.67
Ralph Nader,401.02
United States presidential elections in Maryland,417.31
1912 Progressive National Convention,118.31
Rocky De La Fuente,2320.89
2012 Republican National Convention,620.33
1984 United States presidential election,415.0
Electoral votes,3304.98
The Washington Post,49.04
Far-right politics,224.25
Ballot Access News,240.24
Mark A. Goldsmith,21153.12
Pro bono,-100.0
An Invitation to the White House,244.14
Postgraduate education,26.57
Nebraska,112.09
List of political slogans,84.83
Joshua Keating,71.43
New York (magazine),167.04
Governor of New Mexico,470.24
