File,Percent Increase
Frederick Douglass,41.43
Thurgood Marshall,763.53
2006 United States House of Representatives Democratic Caucus leadership election,92.86
Brad Sherman,210.83
Weekly Democratic Address,95.83
San Francisco City Hall,0
Elizabeth II,55.03
Angela Nicole Walker,438.31
Tulsi Gabbard 2020 presidential campaign,464.12
Steven Mnuchin,121.81
Illegal immigrant,9.68
Arnold Schwarzenegger,62.92
John J. Raskob,5.08
Plessy v. Ferguson,44.98
Black populism,31.62
James D. Richardson,198.15
"United States Senate elections, 2016",101.86
Kansas Democratic Party,74.14
American Society of Muslims,-100.0
Bernard Lafayette,0
San Diego,3.83
Southern Democrats,87.6
Denmark Vesey,157.83
Twenty-fifth Amendment to the United States Constitution,152.76
Charles Manatt,152.0
John V. Tunney,60.1
Marijuana,2.9
Horatio Seymour,10.0
California Air Resources Board,-13.01
1932 Democratic National Convention,123.64
Andrew Jackson,23.88
Lewis Cass,-100.0
Iraq,15.24
United States Senate Democratic Steering and Outreach Committee,43.12
Governor (United States),53.59
Mark Sanford 2020 presidential campaign,81.52
Jo Byrns,12.82
Michael C. Kerr,53.26
Cruel and unusual punishment,49.79
"Los Banos, California",46.67
Index of articles related to African Americans,139.4
Google,273.23
Marianne Williamson 2020 presidential campaign,161.25
Electoral history of Kamala Harris,0
Lift Every Voice and Sing,220.84
Mark DeSaulnier,63.16
Mike Crapo,-100.0
List of landmark African-American legislation,82.74
Florida Democratic Party,46.7
Michael Jackson,93.02
Freedom Riders,1079.88
History of African Americans in Boston,74.79
Hormone therapy,-100.0
Standing (law),53.51
George Hearst,0
Ida B. Wells,-100.0
Doctor of Humane Letters,219.11
HSBC,89.26
Vermont Democratic Party,52.0
Results of the 2020 Green Party presidential primaries,180.41
Joe Andrew,30.25
Black power,155.15
Results of the 2020 Libertarian Party presidential primaries,88.46
The Fader,17.54
Pimping,33.44
Jimmy Gomez,111.65
Jared Huffman,37.69
Joe Lieberman,194.89
Raul Ruiz (politician),214.29
New York State Democratic Committee,42.75
California Proposition 47 (2014),612.7
Socialist Alternative (United States),131.26
Harley Rouda,75.88
Samuel J. Tilden,291.53
Walter Mondale,394.06
Michael Bennet,14.41
Charles H. Townes,160.57
Claude Kitchin,21.87
John Sparkman,115.02
Wallis Simpson,0
Frank Putnam Flint,59.46
Los Angeles County,-24.87
Thomas Jefferson,141.42
Justice for Victims of Lynching Act,558.33
Seniority in the United States Senate,604.71
New York State Right to Life Party,28.69
United States presidential line of succession,185.41
Abram Williams,120.0
Rape kits,0
Native Americans in the United States,20.92
Democratic Party of Virginia,0
"Palo Alto, California",146.74
Jesse Owens,481.89
Ed Jew,0
Two-round system,80.17
Evelle J. Younger,203.41
Transgender,-100.0
Donald Fowler,0.0
List of African-American neighborhoods,31.67
1920 Democratic National Convention,223.38
Kasowitz Benson Torres,294.74
United States Secretary of Housing and Urban Development,242.76
Hollingsworth v. Perry,154.44
Xavier Becerra,1081.1
Russian interference in the 2020 United States elections,0
Joseph Lane,160.06
1868 Democratic National Convention,127.68
Medgar Evers,327.93
Black conservatism,14.5
Kenneth M. Curtis,14.09
Diane Nash,0
Perjury,-100.0
India,35.1
People (magazine),5.75
Samaná Americans,0
Ed Royce,62.28
Democratic Party of Guam,244.07
Aaron McGruder,83.2
John Franklin Enders,202.63
Roy Romer,108.57
Anderson Valley Advertiser,144.0
Birmingham campaign,114.62
October 2018 United States mail bombing attempts,127.41
Louisiana Creole people,24.02
Mule Creek State Prison,2.26
Kanye West 2020 presidential campaign,543.29
Congressional Asian Pacific American Caucus,313.01
Norman E. Mack,100.0
Al Sharpton,213.78
James Comey,260.31
Presidency of John F. Kennedy,17.33
1916 Democratic National Convention,258.25
Cordell Hull,8.18
Subprime mortgage crisis,20.11
Armenian Power,57.02
Director of National Intelligence,120.15
2000 Democratic National Convention,1288.65
Theodore Roosevelt,68.05
Yitzhak Rabin,44.12
James Bradley (former slave),77.67
South Asian American,3.36
National Urban League,125.4
Reuters,27.69
National Pan-Hellenic Council,457.28
Donald Trump 2020 presidential campaign,112.96
Spiro Agnew,84.55
The Fayetteville Observer,20.19
Debbie Wasserman Schultz,194.31
Michelle Steel,176.73
Linda Thomas-Greenfield,185.09
Maya Harris,0
Turlock Journal,168.18
List of United States senators from California,0
Black film,312.15
Douglas Emhoff,1325511.76
Ken Starr,193.66
Robert Milligan McLane,34.15
Emerson Collective,1074.65
History of African Americans in Chicago,53.79
"Bayview–Hunters Point, San Francisco",528.26
Civil rights movement,45.29
United States Attorney General,215.36
Socialist Action (United States),55.2
Political science,12.42
Association for the Study of African American Life and History,330.41
Tom McClintock,258.41
Maria Ressa,129.69
Yoruba Americans,20.93
United States Secretary of the Interior,383.9
Katie Hill (politician),788.4
New Hampshire Democratic Party,1.38
Rod Rosenstein,82.8
Frederick N. Howser,100.0
African Americans in Alabama,16.67
Newton Booth,69.35
William B. Bankhead,22.67
Los Angeles Times,-2.28
2012 Democratic National Convention,2460.39
David C. Broderick,364.38
Fox News,27.23
William T. Wallace,46.81
United States Secretary of Agriculture,26.93
Dan Quayle,149.97
Homicide,118.1
Washington State Democratic Party,33.14
Devin Nunes,72.43
Thomas R. Bard,-100.0
Alex Padilla,1088.17
Tamils,169.44
1904 Democratic National Convention,97.4
Ronnie Kroell,24.54
Isidor Isaac Rabi,45.94
George Floyd protests,103.57
Doctor of Laws,122.17
John Kerry,418.16
History of African Americans in Detroit,75.12
Young Democrats of America,55.22
Sargent Shriver,83.86
History of African Americans in Utah,148.31
VoiceoverPete,-100.0
United States Secretary of Defense,24.84
2020 South Carolina Democratic primary,283.83
John D. Works,95.24
Korean War,12.48
Burglary,76.52
Marco Rubio,341.91
"University of California, Hastings College of the Law",5595.24
New York Daily News,33.39
List of U.S. metropolitan areas with large African-American populations,-0.65
Social engineering (security),-100.0
Robert Mueller,36.4
Susan Brownmiller,62.56
Mascogos,43.8
Colin Powell,689.27
Affidavit,9.76
African-American literature,64.95
Quartz (publication),4.65
Democratic Party (United States),59.81
Mazie Hirono,456.13
United States Secretary of Labor,2.51
2008 California Proposition 8,144.75
Dwight D. Eisenhower,21.64
Kirsten Gillibrand,55.96
Hiram Johnson,38.98
Thurgood Marshall College Fund,32.52
Seth Moulton,0
List of current members of the United States House of Representatives,0.8
Political positions of Michael Bloomberg,112.4
Plea bargain,27.47
Southwestern Athletic Conference,516.45
