File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
"Solar eclipse of June 30, 1992",6.8,09/17/2017,2741.4,08/21/2017,40214.71
Sputtering,203.8,09/02/2017,369.2,08/02/2017,81.16
"Solar eclipse of January 14, 1926",9.2,09/12/2017,132.8,08/21/2017,1343.48
"Solar eclipse of June 22, 2085",11.6,07/31/2017,70.8,08/21/2017,510.34
"Solar eclipse of January 22, 1898",12.6,09/11/2017,89.6,08/21/2017,611.11
"Solar eclipse of February 5, 2000",6.8,09/11/2017,379.4,08/21/2017,5479.41
"Solar eclipse of May 11, 2078",21.4,09/09/2017,1788.0,08/21/2017,8255.14
"Solar eclipse of July 24, 2055",6.2,09/11/2017,336.8,08/21/2017,5332.26
Gravitational lens,266.0,09/16/2017,721.0,08/10/2017,171.05
"Solar eclipse of July 28, 1851",30.8,09/12/2017,884.2,08/21/2017,2770.78
"Solar eclipse of August 30, 1905",9.4,09/11/2017,161.8,08/21/2017,1621.28
Tests of general relativity,211.0,09/16/2017,1480.6,08/21/2017,601.71
"Solar eclipse of December 16, 2047",5.4,07/30/2017,34.4,08/21/2017,537.04
"Solar eclipse of March 29, 1903",0.0,07/24/2017,26.8,08/21/2017,0
Arthur Eddington,275.2,09/12/2017,880.4,08/21/2017,219.91
"Solar eclipse of January 16, 2075",3.6,09/17/2017,322.6,08/21/2017,8861.11
"Solar eclipse of September 12, 1950",2.6,09/17/2017,250.4,08/21/2017,9530.77
"Solar eclipse of October 2, 2024",15.4,09/12/2017,1299.8,08/21/2017,8340.26
"Solar eclipse of October 27, 1780",7.2,07/30/2017,84.0,08/21/2017,1066.67
List of solar eclipses in the 17th century,9.8,09/16/2017,490.4,08/21/2017,4904.08
"Solar eclipse of January 26, 2047",5.0,09/14/2017,134.4,08/21/2017,2588.0
"Solar eclipse of June 29, 1946",4.4,09/05/2017,41.0,08/21/2017,831.82
"Solar eclipse of November 10, 1920",0.0,07/25/2017,27.6,08/21/2017,0
MOS:LIST,0.0,07/24/2017,8.6,08/05/2017,0
New moon,436.4,07/29/2017,2830.2,08/21/2017,548.53
"Solar eclipse of January 25, 1963",7.2,08/31/2017,277.8,08/21/2017,3758.33
Mir,784.4,08/12/2017,1119.8,08/23/2017,42.76
"Solar eclipse of July 22, 2047",5.8,09/14/2017,167.4,08/21/2017,2786.21
"Solar eclipse of March 29, 2006",31.0,09/16/2017,2594.2,08/21/2017,8268.39
"Solar eclipse of June 8, 1937",10.0,09/05/2017,191.6,08/21/2017,1816.0
Star,3197.4,09/09/2017,3237.8,09/07/2017,1.26
"Vienna, Austria",143.2,09/09/2017,174.2,09/07/2017,21.65
Shadow bands,42.4,09/17/2017,5837.6,08/21/2017,13667.92
Lunisolar calendar,298.2,07/30/2017,506.6,08/29/2017,69.89
Perihelion,172.2,07/27/2017,372.6,08/21/2017,116.38
"Solar eclipse of February 3, 1916",7.8,09/11/2017,221.2,08/21/2017,2735.9
Impact event,574.2,08/05/2017,875.8,09/01/2017,52.53
Sun,5887.0,08/05/2017,13759.6,08/21/2017,133.73
Solar Saros 113,3.8,09/05/2017,24.4,08/21/2017,542.11
Solar minimum,102.0,08/16/2017,430.0,09/08/2017,321.57
"Solar eclipse of October 25, 2022",17.2,09/12/2017,899.8,08/21/2017,5131.4
