File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Sustainability accounting,97.2,05/14/2016,126.2,04/19/2016,29.84
Alliance of Small Island States,39.6,04/30/2016,0.0,03/25/2016,-100.0
Over-consumption,37.4,05/15/2016,53.2,04/19/2016,42.25
Paris Agreements,3.4,04/29/2016,6.0,05/04/2016,76.47
Climate change scenario,25.2,04/08/2016,32.2,05/04/2016,27.78
Climate model,123.8,05/14/2016,166.4,04/12/2016,34.41
Sustainable community,65.8,05/15/2016,114.0,04/19/2016,73.25
Permaculture,0.0,03/26/2016,1602.8,04/20/2016,0
United Nations Human Rights Council,505.8,05/07/2016,927.8,04/06/2016,83.43
Enrique V. Iglesias,29.6,05/04/2016,46.4,04/06/2016,56.76
Convention on the Rights of the Child,0.0,03/26/2016,786.8,04/19/2016,0
Biodiversity,0.0,03/26/2016,5411.8,05/06/2016,0
José López Portillo,142.8,04/16/2016,227.8,04/06/2016,59.52
Princess of Asturias Awards,0.0,03/25/2016,276.8,04/03/2016,0
African Charter on Human and Peoples' Rights,99.8,04/10/2016,131.2,04/28/2016,31.46
Renewable energy,3481.2,04/30/2016,2760.2,05/19/2016,-20.71
Greenhouse effect,0.0,03/26/2016,3343.8,04/25/2016,0
Geopark,0.0,03/26/2016,131.2,05/08/2016,0
Urban heat island,0.0,03/26/2016,834.4,05/15/2016,0
Sustainable design,361.6,04/16/2016,573.4,04/04/2016,58.57
Ifakara Health Institute,6.8,04/08/2016,10.4,05/08/2016,52.94
LGBT rights at the United Nations,113.8,04/17/2016,412.4,05/15/2016,262.39
Brexit,242.4,04/09/2016,682.8,05/13/2016,181.68
Global warming game,16.4,04/29/2016,18.0,05/17/2016,9.76
American Declaration of the Rights and Duties of Man,0.0,03/26/2016,62.4,04/03/2016,0
Yitzhak Rabin,962.2,04/30/2016,1609.0,04/06/2016,67.22
Sustainable agriculture,0.0,03/26/2016,699.4,04/19/2016,0
Convention on the Rights of Persons with Disabilities,237.4,05/14/2016,261.6,05/12/2016,10.19
Cloud feedback,15.6,05/14/2016,26.2,05/02/2016,67.95
Climate change and poverty,0.0,03/26/2016,93.8,04/19/2016,0
Nature (journal),0.0,03/26/2016,1467.2,04/06/2016,0
Green Climate Fund,0.0,03/26/2016,250.6,05/11/2016,0
Convention on the Elimination of All Forms of Discrimination Against Women,0.0,03/26/2016,630.2,04/06/2016,0
Name and shame,63.4,05/07/2016,83.6,04/11/2016,31.86
Our Common Future,0.0,03/26/2016,294.4,04/11/2016,0
Low-carbon energy,6.0,04/11/2016,6.0,04/18/2016,0.0
