File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Milne model,31.6,02/09/2016,51.2,02/12/2016,62.03
Fundamental forces,56.0,03/05/2016,106.2,02/12/2016,89.64
California Institute of Technology,1544.0,03/05/2016,4883.2,01/21/2016,216.27
Green Bank Telescope,197.0,03/05/2016,601.6,01/29/2016,205.38
Relativistic Doppler effect,229.6,01/16/2016,355.2,02/18/2016,54.7
Spin (physics),1032.4,01/23/2016,1201.2,02/12/2016,16.35
Electromagnetism,1734.6,03/05/2016,1996.2,02/01/2016,15.08
Philosophy of physics,154.2,03/06/2016,200.8,02/01/2016,30.22
Kurt Gödel,794.0,01/30/2016,0.0,01/14/2016,-100.0
Gravitational lens,464.6,01/30/2016,2214.6,02/10/2016,376.67
Relativity of simultaneity,301.8,01/16/2016,502.2,02/12/2016,66.4
Linear polarization,145.0,01/23/2016,224.2,02/11/2016,54.62
Primordial gravitational wave,7.0,01/26/2016,113.8,02/11/2016,1525.71
Tests of general relativity,325.0,02/06/2016,2291.4,02/12/2016,605.05
Gravitational wave detector,11.0,01/30/2016,201.8,02/11/2016,1734.55
Quadrupole,210.2,01/23/2016,522.0,03/02/2016,148.33
Kinetic energy,2430.8,02/13/2016,2866.6,02/01/2016,17.93
Electromagnetic radiation,3036.2,02/06/2016,4611.2,01/16/2016,51.87
Joseph Weber,27.0,01/21/2016,998.6,02/12/2016,3598.52
Arthur Eddington,337.2,02/26/2016,571.8,02/12/2016,69.57
Weak interaction,758.4,01/16/2016,1166.4,02/12/2016,53.8
Age of the Universe,33.8,03/01/2016,50.6,02/19/2016,49.7
Quantum gravity,935.2,01/30/2016,2104.0,02/12/2016,124.98
University of Birmingham,552.0,01/23/2016,640.0,03/02/2016,15.94
Electroweak interaction,214.2,01/16/2016,276.0,03/03/2016,28.85
Parameterized post-Newtonian formalism,35.8,02/06/2016,79.2,02/12/2016,121.23
David Kaiser,11.2,03/08/2016,43.2,02/08/2016,285.71
Binary pulsar,48.0,01/29/2016,437.2,02/12/2016,810.83
Superconducting,29.6,02/27/2016,280.6,02/01/2016,847.97
Henri Poincaré,572.4,01/16/2016,766.6,01/21/2016,33.93
Multipole expansion,143.2,01/23/2016,269.2,02/11/2016,87.99
James M. Bardeen,0.0,01/15/2016,78.6,02/11/2016,0
Sun,8104.6,01/16/2016,10530.8,02/02/2016,29.94
Spirit (rover),343.6,03/06/2016,967.6,01/29/2016,181.61
International Pulsar Timing Array,6.4,01/21/2016,69.2,02/12/2016,981.25
Southern Celestial Hemisphere,20.8,02/01/2016,829.4,02/28/2016,3887.5
Center of mass,1015.6,02/27/2016,1201.6,02/09/2016,18.31
Mach's principle,151.4,03/05/2016,433.2,02/24/2016,186.13
The Astrophysical Journal Letters,14.2,03/07/2016,22.4,02/03/2016,57.75
