File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Milne model,31.4,04/05/2019,38.8,05/05/2019,23.57
Relativistic Doppler effect,283.0,03/16/2019,764.0,04/11/2019,169.96
Electromagnetism,1266.4,03/30/2019,1604.6,03/18/2019,26.71
Tamiaki Yoneya,0.0,03/13/2019,5.2,03/24/2019,0
Kurt Gödel,732.0,03/30/2019,1007.6,04/03/2019,37.65
Gravitational lens,461.4,03/23/2019,2386.6,04/11/2019,417.25
Relativity of simultaneity,278.4,03/29/2019,494.6,04/11/2019,77.66
Life (magazine),626.8,04/13/2019,835.2,03/18/2019,33.25
Neil Turok,48.4,03/16/2019,68.2,04/10/2019,40.91
Tests of general relativity,223.6,03/17/2019,840.4,04/12/2019,275.85
Cygnus X-1,243.0,03/30/2019,1174.4,04/11/2019,383.29
Electromagnetic radiation,2387.0,04/20/2019,3562.0,04/11/2019,49.22
Paul Murdin,5.8,03/17/2019,11.6,04/03/2019,100.0
Arthur Eddington,229.2,03/23/2019,456.6,04/11/2019,99.21
ADE classification,27.2,03/26/2019,31.2,03/27/2019,14.71
Quantum gravity,709.6,03/17/2019,1472.6,04/11/2019,107.53
Neutron,1054.4,04/13/2019,729.4,05/07/2019,-30.82
Orientifold,11.4,04/12/2019,12.6,04/14/2019,10.53
Parameterized post-Newtonian formalism,0.0,03/14/2019,44.4,04/26/2019,0
Star,2454.0,04/27/2019,4467.2,04/02/2019,82.04
Henri Poincaré,586.8,03/16/2019,752.6,04/29/2019,28.25
James M. Bardeen,45.2,03/15/2019,96.2,04/10/2019,112.83
List of black holes,203.6,03/31/2019,1430.6,04/11/2019,602.65
Michael Atiyah,233.8,05/05/2019,454.8,03/20/2019,94.53
Sun,7434.6,04/06/2019,9589.2,04/02/2019,28.98
Alan Guth,139.2,04/20/2019,168.0,04/23/2019,20.69
Surface gravity,656.4,03/30/2019,657.0,03/29/2019,0.09
Nanokelvin,2.2,03/30/2019,23.2,04/11/2019,954.55
Ergosphere,111.4,03/30/2019,633.6,04/11/2019,468.76
Intermediate-mass black hole,47.6,03/30/2019,236.6,04/11/2019,397.06
Orbifold,75.4,03/23/2019,93.4,04/10/2019,23.87
History of string theory,72.0,04/07/2019,119.2,03/18/2019,65.56
Mach's principle,120.0,03/16/2019,174.6,04/11/2019,45.5
Mirror symmetry (string theory),87.2,03/16/2019,89.0,03/28/2019,2.06
Black Holes and Time Warps,17.2,05/07/2019,212.6,04/10/2019,1136.05
Thomas Curtright,12.6,03/19/2019,18.6,04/14/2019,47.62
Pulsar,874.6,03/31/2019,1788.0,04/11/2019,104.44
Coordinate singularity,11.6,03/29/2019,132.2,04/12/2019,1039.66
Keplerian orbit,7.6,03/18/2019,23.0,04/11/2019,202.63
Vertex operator algebra,43.6,03/21/2019,56.2,04/02/2019,28.9
