File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Ultimate Fighting Championship,3265.0,08/15/2017,21980.8,08/27/2017,573.23
Barry McGuigan,222.8,09/12/2017,664.2,08/27/2017,198.11
BoxRec,272.2,08/01/2017,897.8,08/27/2017,229.83
"Trinity College, Dublin",0.0,07/29/2017,1195.8,09/07/2017,0
Khabib Nurmagomedov,1815.2,09/16/2017,6731.8,08/27/2017,270.86
"Lucan, Dublin",79.4,09/16/2017,655.8,08/27/2017,725.94
UFC 202,555.0,09/21/2017,5983.4,08/27/2017,978.09
Celtic F.C.,3297.4,09/06/2017,6041.8,08/16/2017,83.23
Catholic,456.4,08/26/2017,665.0,09/07/2017,45.71
John Kavanagh (martial artist),140.6,09/16/2017,1234.6,08/27/2017,778.09
UFC 148,102.2,08/21/2017,235.0,08/12/2017,129.94
Spinal lock,132.2,08/25/2017,157.8,08/01/2017,19.36
ESPN,1554.6,08/19/2017,3804.6,09/15/2017,144.73
Dana White,1378.8,09/20/2017,20751.2,08/27/2017,1405.02
New Zealand,12224.2,09/09/2017,13169.0,09/07/2017,7.73
Rose Namajunas,483.8,08/25/2017,2836.6,09/12/2017,486.32
Charles Oliveira,176.6,08/12/2017,0.0,07/30/2017,-100.0
Beats Electronics,1404.2,09/09/2017,0.0,07/30/2017,-100.0
Blanchardstown,0.0,07/29/2017,126.8,09/04/2017,0
Diego Brandão,105.8,09/21/2017,1554.2,09/05/2017,1369.0
UFC Fight Night 59,4.6,08/13/2017,22.8,08/27/2017,395.65
Cozen O'Connor,39.8,08/20/2017,60.4,08/03/2017,51.76
Guillotine choke,124.8,09/11/2017,0.0,07/30/2017,-100.0
"Campbell, California",177.4,09/09/2017,293.0,08/09/2017,65.16
Marcus Brimage,90.2,09/22/2017,619.2,09/06/2017,586.47
Abubakar Nurmagomedov,37.4,09/22/2017,142.4,08/27/2017,280.75
Sports nutrition,154.0,09/09/2017,496.8,09/06/2017,222.6
Justin Gaethje,517.0,08/12/2017,2021.6,08/31/2017,291.03
Las Vegas Valley,898.8,09/09/2017,1008.8,09/07/2017,12.24
Mount (grappling),46.6,08/12/2017,69.2,08/27/2017,48.5
Andy Ogle,33.4,08/10/2017,86.4,08/27/2017,158.68
Karolina Kowalkiewicz,344.0,08/19/2017,982.8,09/12/2017,185.7
SB Nation,0.0,07/29/2017,490.0,08/16/2017,0
UFC 189,278.0,09/18/2017,1037.2,08/27/2017,273.09
Gunnar Nelson (fighter),283.0,09/22/2017,5174.0,08/27/2017,1728.27
UFC 200,303.2,09/22/2017,0.0,07/30/2017,-100.0
List of UFC records,440.8,09/16/2017,0.0,07/30/2017,-100.0
Vodka,2588.2,09/12/2017,3116.2,08/13/2017,20.4
Bleacher Report,239.6,08/13/2017,292.2,08/04/2017,21.95
Artem Lobov,469.4,09/15/2017,1332.0,08/12/2017,183.77
