File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
1989 World Artistic Gymnastics Championships,25.0,07/09/2021,58.4,08/10/2021,133.6
Jackie Joyner-Kersee,1833.2,08/20/2021,14113.6,08/04/2021,669.89
Karin Büttner-Janz,28.0,07/06/2021,120.0,08/08/2021,328.57
Gymnastics vault,18.2,07/11/2021,401.0,07/29/2021,2103.3
Arnold Tucker,8.4,08/07/2021,11.8,08/21/2021,40.48
Vitaly Scherbo,122.0,07/15/2021,1232.0,07/28/2021,909.84
John B. Kelly Jr.,89.8,08/24/2021,262.2,08/07/2021,191.98
Gymnastics at the 1968 Summer Olympics – Women's artistic team all-around,13.6,07/06/2021,147.2,07/27/2021,982.35
Huang Huidan,9.6,07/15/2021,35.2,07/29/2021,266.67
North Korea at the 2008 Summer Olympics,16.8,07/12/2021,291.8,08/08/2021,1636.9
Tatiana Gutsu,126.2,07/16/2021,1569.6,07/30/2021,1143.74
Diana Natalicio,10.4,07/18/2021,12.4,08/08/2021,19.23
Anita Thigpen Perry,63.8,07/19/2021,253.4,08/18/2021,297.18
1991 World Artistic Gymnastics Championships,39.2,07/02/2021,141.6,07/26/2021,261.22
Khabib Nurmagomedov,6818.6,08/24/2021,55842.4,07/11/2021,718.97
Sheryl Swoopes,307.8,08/17/2021,1122.0,08/08/2021,264.52
Riley McCusker,106.0,08/24/2021,1637.8,07/29/2021,1445.09
Rulon Gardner,363.4,07/10/2021,2674.0,08/02/2021,635.83
Dora Dougherty Strother,10.0,07/11/2021,18.4,08/09/2021,84.0
International Gymnastics Federation,100.8,07/10/2021,770.6,07/29/2021,664.48
Gymnastics at the 1972 Summer Olympics – Women's vault,4.0,07/16/2021,16.0,08/01/2021,300.0
Romania at the 2008 Summer Olympics,31.4,07/05/2021,520.8,07/28/2021,1558.6
Natalia Shaposhnikova,41.0,07/14/2021,279.0,07/28/2021,580.49
Rick Wohlhuter,0.0,07/01/2021,69.6,08/02/2021,0
Chamique Holdsclaw,116.8,07/31/2021,281.2,08/08/2021,140.75
Gussie Nell Davis,5.4,07/26/2021,9.8,08/21/2021,81.48
John Carlos,145.2,08/23/2021,1016.6,07/22/2021,600.14
2014 World Artistic Gymnastics Championships,139.0,07/17/2021,793.2,07/28/2021,470.65
Fanny Blankers-Koen,463.4,07/12/2021,1288.8,08/05/2021,178.12
Anna Maria Farias,7.6,07/10/2021,9.0,08/18/2021,18.42
Katherine Rawls,0.0,06/30/2021,71.0,07/26/2021,0
Czechoslovakia,2763.6,08/13/2021,5457.8,07/03/2021,97.49
Pacific Rim Championships,34.0,07/14/2021,453.2,07/29/2021,1232.94
Abebe Bikila,308.2,07/11/2021,3523.6,08/08/2021,1043.28
Gymnastics at the 2018 Summer Youth Olympics,31.4,07/11/2021,179.8,08/03/2021,472.61
The Hill (newspaper),815.8,07/10/2021,1187.8,07/26/2021,45.6
Foster care,459.0,08/14/2021,771.2,07/30/2021,68.02
Vault (gymnastics),241.6,07/09/2021,5200.6,07/28/2021,2052.57
American Cup (gymnastics),58.4,07/14/2021,635.2,07/28/2021,987.67
ESPN,1492.4,08/23/2021,3664.2,07/11/2021,145.52
Juntendo University,16.0,07/04/2021,423.2,07/28/2021,2545.0
Romania at the 1988 Summer Olympics,27.6,08/20/2021,249.8,08/08/2021,805.07
Pat Summitt,199.4,08/24/2021,551.2,08/08/2021,176.43
Ellie Downie,47.4,08/24/2021,969.6,07/25/2021,1945.57
E! News,118.2,08/13/2021,163.4,08/07/2021,38.24
Ann-Sofi Pettersson,5.8,07/12/2021,13.8,08/01/2021,137.93
