File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Thurgood Marshall,1480.4,06/25/2016,2951.8,06/04/2016,99.39
Lineal championship,392.8,06/28/2016,5957.2,06/04/2016,1416.6
Ultimate Fighting Championship,3362.6,05/27/2016,7822.6,06/05/2016,132.64
Soviet Russia,29.2,05/12/2016,38.0,06/11/2016,30.14
Zhang Xiaoping,20.8,05/26/2016,57.8,06/05/2016,177.88
BoxRec,160.8,06/20/2016,0.0,05/08/2016,-100.0
List of North American Muslims,8.4,05/29/2016,769.8,06/04/2016,9064.29
Larry Holmes,1165.8,05/28/2016,36169.0,06/04/2016,3002.5
Khabib Nurmagomedov,1168.8,05/13/2016,1586.4,06/05/2016,35.73
Orthodox stance,735.6,05/27/2016,18247.6,06/04/2016,2380.64
Zachary Taylor House,16.0,06/26/2016,38.0,06/05/2016,137.5
Professional boxer,132.8,05/27/2016,771.6,06/04/2016,481.02
Elijah Muhammad,1803.6,05/28/2016,20180.4,06/04/2016,1018.9
Life (magazine),445.8,07/01/2016,883.6,06/26/2016,98.21
NK News,16.0,05/16/2016,42.6,06/01/2016,166.25
David Cameron,5215.4,05/28/2016,120334.6,06/24/2016,2207.29
Archie Moore,375.0,05/28/2016,4359.0,06/04/2016,1062.4
Stevie Wonder,4351.2,06/13/2016,8609.4,05/13/2016,97.86
Heavyweight,982.6,05/27/2016,7020.0,06/04/2016,614.43
On Being,33.4,06/10/2016,0.0,05/08/2016,-100.0
FBI,498.2,05/28/2016,978.6,06/12/2016,96.43
Google Books,589.0,06/19/2016,719.0,05/09/2016,22.07
Zora Folley,0.0,05/07/2016,1991.8,06/04/2016,0
John Carlos,232.2,05/28/2016,544.0,06/09/2016,134.28
Boxing at the 1964 Summer Olympics – Light heavyweight,5.6,05/29/2016,20.2,06/05/2016,260.71
Sufism,3057.4,05/28/2016,22349.2,06/04/2016,630.99
Closed-circuit television,0.0,05/07/2016,1562.0,06/29/2016,0
"Farmington (Louisville, Kentucky)",23.0,06/23/2016,29.0,05/11/2016,26.09
Abebe Bikila,245.4,06/18/2016,351.6,06/22/2016,43.28
Toronto Star,284.8,05/28/2016,452.6,05/14/2016,58.92
Chicago Golden Gloves,6.4,07/01/2016,43.4,06/05/2016,578.12
Michael Jackson,18328.8,06/17/2016,36111.8,06/25/2016,97.02
Ennis,182.8,05/28/2016,519.2,06/04/2016,184.03
Germany at the 1992 Summer Olympics,14.8,06/10/2016,19.4,05/17/2016,31.08
ESPN,1877.4,05/14/2016,2940.0,06/10/2016,56.6
Spike Lee,2249.2,05/27/2016,4046.2,06/03/2016,79.9
Louisville Water Tower,48.2,06/09/2016,46.6,06/10/2016,-3.32
Pat Summitt,225.4,06/18/2016,150597.8,06/28/2016,66713.58
South Africa at the 1948 Summer Olympics,4.6,05/15/2016,8.8,05/28/2016,91.3
National Security Agency,0.0,05/07/2016,6619.0,05/13/2016,0
Greg Norman,767.6,06/07/2016,1485.0,06/23/2016,93.46
U-T San Diego,70.4,05/26/2016,72.4,05/28/2016,2.84
African American Muslims,23.8,05/13/2016,60.8,06/04/2016,155.46
Tournament of Roses Parade,53.8,06/24/2016,198.0,06/04/2016,268.03
Miami Beach Convention Center,0.0,05/07/2016,134.0,06/04/2016,0
Bloody Monday,44.2,05/29/2016,161.6,06/13/2016,265.61
Michael Dokes,92.0,05/24/2016,1905.2,06/04/2016,1970.87
George Rogers Clark,214.6,06/17/2016,486.0,06/10/2016,126.47
Jersey Joe Walcott,210.6,05/28/2016,2093.8,06/04/2016,894.21
Spirituality,1007.8,06/04/2016,0.0,05/08/2016,-100.0
Parkinson's syndrome,7.4,06/22/2016,7235.0,06/04/2016,97670.27
University of Florida,1122.8,05/21/2016,1181.0,06/16/2016,5.18
Thomas Hauser,21.2,05/29/2016,732.4,06/05/2016,3354.72
People (magazine),1356.6,06/27/2016,0.0,05/07/2016,-100.0
Minoru Suzuki,167.4,05/27/2016,188.8,05/20/2016,12.78
Ebony (magazine),208.6,05/28/2016,421.2,06/04/2016,101.92
Laila Ali,2654.6,06/01/2016,97888.4,06/04/2016,3587.5
"Performing arts in Louisville, Kentucky",10.6,06/17/2016,11.4,05/21/2016,7.55
Toronto,6585.4,06/18/2016,9149.6,05/24/2016,38.94
ABC News (Australia),144.2,05/14/2016,170.8,06/24/2016,18.45
Philadelphia,5627.4,06/25/2016,6986.6,06/12/2016,24.15
"Berrien Springs, Michigan",65.2,05/25/2016,1681.4,06/04/2016,2478.83
Cave Hill Cemetery,64.0,05/13/2016,3176.6,06/10/2016,4863.44
Al Sharpton,1052.2,06/25/2016,1762.2,06/04/2016,67.48
Anton Josipović,14.2,05/25/2016,31.0,06/04/2016,118.31
EPMD,354.2,06/25/2016,437.2,06/18/2016,23.43
The Miami Herald,70.8,06/20/2016,173.6,06/04/2016,145.2
"Jeffersontown, Kentucky",47.8,06/20/2016,70.4,06/04/2016,47.28
Trevor Berbick,576.2,05/28/2016,20706.4,06/04/2016,3493.61
Racism in the United States,745.2,06/18/2016,1251.6,05/20/2016,67.95
Eamonn Andrews,167.6,06/27/2016,519.0,06/04/2016,209.67
Jheryl Busby,13.2,05/09/2016,18.4,06/28/2016,39.39
Richie Giachetti,13.4,05/20/2016,25.2,06/10/2016,88.06
YouTube,23833.6,05/22/2016,29215.6,05/10/2016,22.58
Qur'an,0.0,05/07/2016,634.2,06/04/2016,0
List of people who have lit the Olympic Cauldron,85.6,05/28/2016,439.0,06/04/2016,412.85
WrestleMania I,478.0,05/26/2016,2504.8,06/04/2016,424.02
"History of Louisville, Kentucky",81.4,06/17/2016,145.8,06/10/2016,79.12
Jacobin (magazine),115.4,06/11/2016,171.8,05/14/2016,48.87
Palestinian refugee,51.8,05/27/2016,82.6,05/15/2016,59.46
Biography.com,27.6,05/27/2016,36.2,06/10/2016,31.16
Oval Office,490.0,06/30/2016,802.8,05/20/2016,63.84
"Pittsburgh, Pennsylvania",0.0,05/07/2016,675.4,06/26/2016,0
"St. Matthews, Kentucky",37.0,06/26/2016,61.8,05/18/2016,67.03
Antonio Inoki,620.8,06/01/2016,3398.8,06/04/2016,447.49
Ali (name),153.4,05/29/2016,935.0,06/04/2016,509.52
Civil rights movement,341.8,06/11/2016,433.0,06/15/2016,26.68
Pancrase,195.4,06/24/2016,282.4,06/12/2016,44.52
Old Bank of Louisville,10.0,06/13/2016,11.0,06/30/2016,10.0
LSU Press,3.6,05/15/2016,8.8,05/30/2016,144.44
When We Were Kings,125.0,05/29/2016,7278.0,06/04/2016,5722.4
Stand by Me (Ben E. King song),10.6,06/23/2016,33.2,05/17/2016,213.21
Shamila Kohestani,6.2,05/13/2016,14.6,06/21/2016,135.48
Freestyle rap,0.0,05/08/2016,395.4,06/13/2016,0
Superman vs. Muhammad Ali,75.2,05/24/2016,10619.4,06/07/2016,14021.54
Los Angeles Lakers,4618.4,05/21/2016,10158.0,06/20/2016,119.95
Fox News,153.2,05/28/2016,570.6,06/13/2016,272.45
Doug Jones (boxer),33.2,05/29/2016,1346.2,06/04/2016,3954.82
United States at the 2004 Summer Olympics,0.0,05/07/2016,334.0,06/27/2016,0
Henry Cooper,235.0,05/28/2016,16682.4,06/04/2016,6998.89
Historic Locust Grove,25.2,05/18/2016,41.2,05/21/2016,63.49
Wil Haygood,16.6,06/17/2016,77.0,05/30/2016,363.86
1996 Summer Olympics opening ceremony,0.0,05/07/2016,212.2,06/04/2016,0
United States at the 1976 Summer Olympics,48.4,05/31/2016,116.8,06/26/2016,141.32
Lance Armstrong,3585.0,05/13/2016,6798.8,06/12/2016,89.65
Ron Clarke,49.8,06/25/2016,91.6,05/30/2016,83.94
Arsenal Stadium,277.4,06/29/2016,2064.8,05/10/2016,644.34
Freedom Road,13.4,05/23/2016,467.2,06/04/2016,3386.57
Eunice Kennedy Shriver,664.0,06/30/2016,1268.4,05/15/2016,91.02
Kevin Casey (fighter),0.0,05/07/2016,18539.4,06/05/2016,0
Hollywood Walk of Fame,2132.6,05/13/2016,6008.2,06/04/2016,181.73
Colin Powell,2103.4,06/25/2016,5293.6,05/30/2016,151.67
Russia at the 2012 Summer Olympics,123.2,05/22/2016,433.4,06/17/2016,251.79
Extremism,301.6,05/28/2016,599.6,06/13/2016,98.81
Salat al-Janazah,153.6,05/23/2016,891.2,06/10/2016,480.21
Goran Ivanišević,345.6,05/11/2016,1345.4,06/18/2016,289.29
Indian Country Today Media Network,25.6,06/12/2016,46.4,05/28/2016,81.25
Uncle Tom syndrome,98.8,05/21/2016,407.2,06/06/2016,312.15
Ohio River,782.2,05/27/2016,1108.0,06/05/2016,41.65
LeBron James,0.0,05/07/2016,323685.0,06/20/2016,0
"Shepherdsville, Kentucky",72.6,05/15/2016,100.4,05/23/2016,38.29
Pelé,0.0,05/07/2016,19724.4,06/05/2016,0
American Heritage (magazine),75.2,06/19/2016,91.0,05/10/2016,21.01
The Wall Street Journal,1208.0,06/19/2016,1506.8,06/10/2016,24.74
George Hunter (boxer),7.4,05/13/2016,14.6,06/05/2016,97.3
Rapper,244.0,06/30/2016,389.8,06/07/2016,59.75
William Nack,16.4,06/23/2016,0.0,05/08/2016,-100.0
Jeremy Glick,103.6,06/25/2016,144.0,06/21/2016,39.0
Michael J. Fox,6206.8,06/24/2016,26484.8,06/05/2016,326.71
Dyslexic,64.2,06/04/2016,92.0,06/10/2016,43.3
List of The Ring world champions,343.6,06/02/2016,573.4,06/04/2016,66.88
Slave name,109.0,05/28/2016,909.4,06/11/2016,734.31
William Addams Reitwiesner,15.6,06/05/2016,22.4,05/16/2016,43.59
Norway,0.0,05/07/2016,14946.2,06/24/2016,0
Freedom Hall,68.6,06/26/2016,390.8,06/10/2016,469.68
List of undisputed boxing champions,356.4,05/28/2016,4087.8,06/04/2016,1046.97
Facing Ali,20.0,05/18/2016,377.2,06/04/2016,1786.0
Dave Semenko,54.2,05/29/2016,346.4,06/05/2016,539.11
Olga Korbut,285.8,06/10/2016,663.4,06/27/2016,132.12
UFC 199,3461.8,06/29/2016,122901.6,06/05/2016,3450.22
The Trials of Muhammad Ali,0.0,05/07/2016,387.0,06/04/2016,0
George Plimpton,385.8,05/28/2016,2012.0,06/18/2016,421.51
