File,Baseline,Baseline Date,Peak,Peak Date,Percent Increase
Tropical Storm Erika,38.0,08/06/2021,235.8,08/29/2021,520.53
1856 Atlantic hurricane season,9.0,09/24/2021,174.4,08/29/2021,1837.78
"Burlington County, New Jersey",167.2,09/11/2021,225.6,09/02/2021,34.93
Hurricane Helene (1958),8.4,08/06/2021,36.4,08/29/2021,333.33
Hurricane Earl (2010),0.0,08/02/2021,157.0,08/22/2021,0
"Bristol, Pennsylvania",80.8,08/19/2021,138.6,09/02/2021,71.53
53rd Weather Reconnaissance Squadron,28.8,08/05/2021,519.0,08/29/2021,1702.08
Offshore oil and gas in the Gulf of Mexico (United States),59.4,09/16/2021,215.6,08/29/2021,262.96
La Coloma,0.0,08/02/2021,38.6,08/28/2021,0
Tropical cyclone naming,0.0,08/03/2021,1712.0,09/17/2021,0
"Newark, New Jersey",1766.2,08/28/2021,2801.0,09/11/2021,58.59
Rainband,40.0,08/06/2021,132.2,08/29/2021,230.5
Hurricane Camille,289.8,08/05/2021,8797.8,08/29/2021,2935.82
Bay of Fundy,437.8,09/18/2021,586.6,09/22/2021,33.99
Hurricane Ivan,226.0,08/06/2021,3902.4,08/29/2021,1626.73
Hurricane Henri,8.0,08/05/2021,10641.0,08/22/2021,132912.5
WCBD-TV,23.6,08/14/2021,34.8,08/17/2021,47.46
Caribbean Sea,992.0,09/11/2021,1395.6,09/15/2021,40.69
1992 Atlantic hurricane season,0.0,08/03/2021,300.0,08/29/2021,0
1856 Last Island hurricane,38.2,08/07/2021,4745.6,08/29/2021,12323.04
Negril,42.6,09/26/2021,125.0,08/30/2021,193.43
United States Geological Survey,487.2,08/29/2021,873.2,09/15/2021,79.23
Tom Wolf,431.6,08/16/2021,734.4,08/31/2021,70.16
List of costliest Atlantic hurricanes,188.8,08/07/2021,3914.2,09/03/2021,1973.2
Long Island Rail Road,389.2,08/05/2021,0.0,08/02/2021,-100.0
French Quarter,440.2,08/26/2021,1378.4,08/30/2021,213.13
Hurricane Hortense,14.2,08/05/2021,58.2,08/29/2021,309.86
Hurricane Betsy,0.0,08/03/2021,4201.0,08/29/2021,0
Pinar del Río,61.4,09/24/2021,0.0,08/02/2021,-100.0
Hurricane Teddy,57.2,08/08/2021,250.2,09/13/2021,337.41
List of retired Atlantic hurricane names,0.0,08/02/2021,4853.4,08/29/2021,0
Philadelphia,4691.8,09/11/2021,6769.6,09/15/2021,44.29
Flash flood warning,83.2,08/06/2021,770.2,09/02/2021,825.72
KTAL-TV,21.0,09/23/2021,38.8,08/17/2021,84.76
"Houma, Louisiana",189.8,08/06/2021,6945.6,08/29/2021,3559.43
Hurricane Janet,42.8,08/07/2021,292.2,08/29/2021,582.71
Hurricane Gert (1999),0.0,08/03/2021,67.8,09/13/2021,0
Maryland,2829.4,09/25/2021,4716.6,09/17/2021,66.7
Hurricane Felix (1995),16.0,09/12/2021,77.6,09/01/2021,385.0
Louisiana Department of Health,11.8,08/08/2021,0.0,08/02/2021,-100.0
